id;title;domain;description;day_to_day;tools_certifications;salary_range;growth_trajectory;industry_trends;icon_emoji;difficulty;demand_level;related_skills;created_at;keywords;job_role_keywords;industry;sector;related_subjects;related_universities;avg_salary_usd;growth_trajectory_detail;soft_skills;interests;countries_in_demand;related_industries;related_sectors;related_domains;related_careers;related_job_roles;related_courses;related_countries
36059e17-5a6f-42f9-8182-1d56b95dd4c2;Marine Conservation Biologist;Environmental Science;Protect ocean ecosystems and marine biodiversity;;[];₹4,00,000 - ₹15,00,000;Stable;;🐋;intermediate;growing;"[""diving"",""GIS"",""marine biology"",""ecology"",""AlphaFold""]";2026-04-06 06:52:54.166408+00;"[""marine conservation"",""ocean"",""wildlife"",""ecology""]";[];Environmental & Sustainability;Marine & Maritime;"[""Ecology""]";"[""Massey University""]";$45K-$90K;;"[""safety""]";"[""ocean""]";"[""USA"",""Germany"",""UK"",""Canada"",""India"",""Australia""]";"[""Marine & Ocean"",""Environmental & Sustainability"",""Marine Engineering"",""Outdoor Recreation"",""Fertilizers"",""Non-Profit & NGOs""]";"[""Marine & Maritime""]";"[""Marine Biology"",""Marine Engineering""]";"[""Marine Biologist""]";"[""Marine Biologist"",""Conservation Scientist"",""Marine Engineer"",""Environmental Engineer"",""Ecologist""]";[];"[""Bahamas"",""Cameroon"",""Congo"",""Cambodia"",""Comoros"",""Guinea-Bissau"",""Belize""]"
636b2e61-05ba-47dc-9aa8-39f070c19e4b;Botanist;Science;Studies plant biology, ecology and conservation;;[];₹3,00,000 - ₹10,00,000;Stable;;🌿;Medium;Low;"[""Plant Biology"",""Taxonomy"",""Ecology"",""AlphaFold""]";2026-04-07 04:53:38.714603+00;"[""botanist"",""botany"",""ecology"",""environmental"",""plants"",""science"",""sustainability""]";[];Environmental & Sustainability;Marine & Maritime;"[""Ecology"",""Botany""]";[];$110,000;;"[""empathy"",""innovation"",""systems thinking"",""safety"",""Analytical Skills"",""Problem Solving"",""public health"",""analytical"",""Critical Thinking"",""Logical Thinking"",""Analytical Thinking"",""Innovation"",""Self-awareness"",""Emotional Intelligence"",""outdoors"",""research"",""planning"",""negotiation"",""precision"",""Creativity"",""Attention to Detail"",""creativity"",""service"",""problem-solving""]";"[""animals"",""environment"",""energy"",""Environment"",""Sustainability"",""Technology"",""geology"",""math"",""technology"",""Data"",""Business"",""Programming"",""Computers"",""Data Science"",""AI"",""Personal Growth"",""Mental Health"",""ocean"",""nature"",""biology"",""engineering"",""property"",""making"",""Design""]";"[""USA"",""Germany"",""UK"",""Canada"",""India"",""Australia""]";"[""Environmental & Sustainability"",""Information Technology""]";;"[""Science""]";;"[""Botanist"",""Biostatistician"",""Marine Biologist"",""Hydrologist"",""Food Scientist"",""Ecologist"",""Cartographer"",""Conservation Scientist""]";[];"[""Cambodia"",""Kyrgyzstan"",""Belize""]"
1a658b3a-4492-416d-b939-8b0a481b89b5;Perfumer / Fragrance Designer;Consumer Goods;Design and compose scents for products and luxury brands;;[];₹6,00,000 - ₹30,00,000;Strong Growth;;🌸;advanced;niche;"[""creativity"",""olfactory training"",""chemistry"",""branding""]";2026-04-06 06:52:54.166408+00;"[""arts"",""consumer"",""cosmetics"",""creative"",""designer"",""fragrance"",""goods"",""perfumer"",""perfumery"",""scent design""]";[];Arts & Creative;Beauty & Personal Care;[];[];$50K-$110K;;"[""creativity""]";"[""beauty""]";"[""USA"",""India"",""UK"",""Australia"",""Canada""]";"[""Arts & Creative"",""Information Technology""]";"[""Beauty & Personal Care""]";"[""Consumer Goods""]";"[""Textile Designer"",""UX Designer"",""Costume Designer"",""Fragrance Designer"",""Toy Designer"",""Industrial Designer"",""Sound Designer"",""Puppeteer / Puppet Designer"",""Interior Designer"",""Prosthetics Designer""]";"[""Perfumer / Fragrance Designer"",""Industrial Designer"",""Fashion Designer"",""Interior Designer"",""Graphic Designer"",""UX Designer"",""Behavioral Designer""]";[];
54dc2bc6-8cb3-41a5-9981-9b056f089466;Urban Planning;Design;Designing and planning cities and communities;;[];$50K-$100K;Smart cities driving new demand;;🏙️;Medium;Medium;"[""GIS"",""Community Engagement"",""Zoning"",""Land Use"",""Data Analysis"",""Strategic Planning"",""D3.js""]";2026-03-09 03:35:36.335462+00;"[""urban planning"",""city planning"",""zoning"",""smart cities""]";"[""Urban Planner"",""City Planner"",""Transportation Planner""]";Entertainment & Media;Environmental Services;"[""Urban Planning""]";"[""Politecnico di Milano"",""EPFL"",""Tsinghua University"",""Banaras Hindu University"",""Brigham Young University"",""Indiana University Bloomington"",""Nanyang Polytechnic"",""Indian School of Business"",""Anna University""]";$80,000;;"[""creativity"",""Creativity"",""Attention to Detail""]";"[""design"",""art"",""Design"",""Art"",""Visuals""]";"[""USA"",""UK"",""Australia""]";"[""Construction & Real Estate"",""Entertainment & Media"",""Architecture"",""Non-Profit & NGOs""]";"[""Affordable Housing""]";"[""Urban Planning""]";"[""Urban Planner"",""Urban Farmer""]";"[""Demand Planning Manager""]";"[""Blender 3D Modeling Bootcamp"",""Adobe Illustrator Mega Course"",""Google UX Design Certificate"",""Design Thinking for Innovation"",""Fundamentals of Graphic Design"",""Adobe Photoshop Masterclass"",""Figma UI/UX Design Essentials"",""UX Research Fundamentals"",""Notion Productivity OS""]";"[""Guatemala"",""Albania"",""Bhutan"",""Iraq"",""Kyrgyzstan"",""Benin""]"
28d6ffdc-690a-4a9a-bed5-c8ee5c305f1e;Archivist;Library & Archival Science;Preserve and manage historical records and cultural artifacts;Catalog collections, digitize records, handle preservation, assist researchers;[];₹3,50,000-₹10,00,000;Digital archiving creating new opportunities;Digital archives and AI-powered search transforming the field;📜;Intermediate;Stable;"[""Digital Preservation"",""Metadata"",""History"",""Record Management"",""Cataloging""]";2026-04-04 06:37:36.623731+00;"[""archival"",""archivist"",""humanities"",""library"",""science"",""sciences"",""social""]";[];Social Sciences & Humanities;;[];[];$110,000;;"[""organization"",""safety"",""design"",""analytical"",""Analytical Skills"",""Critical Thinking"",""Communication"",""Analytical Thinking"",""Innovation"",""Attention to Detail"",""Organization"",""Logical Thinking"",""research"",""Problem Solving"",""innovation"",""systems thinking"",""Self-awareness"",""Emotional Intelligence"",""discipline"",""patience"",""languages"",""service"",""planning"",""Technical Aptitude""]";"[""events"",""ocean"",""home"",""math"",""technology"",""Data"",""Technology"",""Business"",""Visuals"",""Data Science"",""AI"",""Productivity"",""Mathematics"",""Science"",""Programming"",""Computers"",""environment"",""Environment"",""Sustainability"",""Personal Growth"",""Mental Health"",""sports"",""health"",""food""]";"[""USA"",""UK"",""Canada"",""Australia"",""Germany"",""India""]";"[""Social Sciences & Humanities"",""Information Technology""]";;"[""Library & Archival Science"",""Archaeology""]";;"[""Archivist""]";[];"[""Afghanistan""]"
c1baab76-45ce-47f5-aed6-5613cface29a;Meteorologist;Science;Studies atmospheric conditions to forecast weather and climate patterns;;[];₹4,00,000 - ₹15,00,000;Rapid Growth;;🌦️;Hard;Medium;"[""Meteorology"",""Climate Science"",""Modeling"",""Data Analysis"",""AlphaFold""]";2026-04-07 04:53:38.714603+00;"[""climate"",""environmental"",""forecast"",""meteorologist"",""meteorology"",""science"",""sustainability"",""weather""]";[];Environmental & Sustainability;Civil Aviation;[];[];$110,000;;"[""innovation""]";"[""environment""]";"[""USA"",""Germany"",""UK"",""Canada"",""India"",""Australia""]";"[""Climate Tech"",""Environmental & Sustainability"",""Information Technology""]";;"[""Science"",""Seismology""]";"[""Aviation Meteorologist""]";"[""Meteorologist"",""Biostatistician"",""Hydrologist"",""Food Scientist"",""Ecologist"",""Cartographer"",""Conservation Scientist""]";"[""Climate Change Solutions""]";"[""Comoros"",""Gambia"",""Belarus"",""Belize""]"
2b9b5e80-80fb-4dc0-95a9-a9c784be0384;Paleontologist;Paleontology;Study prehistoric life through fossil evidence;Lead excavations, analyze fossils, write research papers, curate exhibitions;[];₹3,00,000-₹10,00,000;Academic and museum positions available;CT scanning and genomics revolutionizing fossil analysis;🦕;Advanced;Niche;"[""Data Analysis"",""Biology"",""Field Work"",""Geology"",""Research""]";2026-04-04 06:37:36.623731+00;"[""paleontologist"",""paleontology"",""research"",""science""]";[];Science & Research;;[];[];$65K-$130K;;"[""planning"",""negotiation"",""precision"",""Creativity"",""Attention to Detail"",""creativity"",""service"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills"",""empathy"",""analytical"",""discipline"",""Critical Thinking"",""Self-awareness"",""Emotional Intelligence"",""Analytical Thinking"",""Innovation"",""Leadership"",""Organization""]";"[""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""policy"",""aviation"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""music"",""arts"",""film"",""environment"",""energy"",""Environment"",""Sustainability""]";"[""USA"",""UK"",""Australia"",""India"",""Germany"",""Canada""]";"[""Science & Research""]";;"[""Paleontology""]";"[""Paleontologist""]";"[""Paleontologist""]";[];
4bec6915-5c92-44f2-a07f-9db4eb64892e;Music & Audio;Creative Arts;Creating, performing, and producing music and audio;;[];$25K-$150K+;Diverse revenue streams;;🎵;Medium;Medium;"[""Mixing"",""Performance Marketing"",""Music Theory"",""Sound Design"",""DAW"",""Rust"",""Mastering""]";2026-03-09 03:35:36.335462+00;"[""music"",""audio"",""production"",""performance"",""composition""]";"[""Music Producer"",""Sound Engineer"",""Composer"",""Musician""]";Entertainment & Media;Auto Manufacturing;"[""Sports Science"",""Manufacturing"",""Music Theory""]";"[""Aligarh Muslim University""]";$35K-$150K+;;"[""creativity""]";"[""music"",""arts"",""film""]";"[""USA"",""UK"",""Australia"",""India"",""Germany"",""Canada""]";"[""Manufacturing & Industrial"",""Music Industry"",""Film & Television"",""Entertainment & Media"",""Music Streaming""]";"[""Auto Manufacturing"",""Film & Television"",""Music & Audio"",""Electronic Music""]";"[""Music & Audio Production"",""Audiology""]";;"[""Music Producer"",""Copywriter"",""Art Director"",""Film Editor""]";"[""Songwriting"",""Music Production with Ableton Live""]";
5379878f-81a2-4956-a297-edc1fb9b0854;Entomologist;Science;Studies insects and their impact on ecosystems;;[];₹3,00,000 - ₹10,00,000;Stable;;🐛;Hard;Low;"[""Fieldwork"",""Entomology"",""Taxonomy""]";2026-04-07 04:53:38.714603+00;"[""biology"",""entomologist"",""entomology"",""insects"",""research"",""science""]";[];Science & Research;Mining & Resources;[];[];$110,000;;"[""innovation"",""analytical"",""safety"",""systems thinking"",""Analytical Skills"",""Problem Solving"",""Critical Thinking"",""Logical Thinking"",""Analytical Thinking"",""Innovation"",""Self-awareness"",""Emotional Intelligence"",""research"",""empathy"",""public health"",""patience"",""outdoors"",""organization"",""design"",""Communication"",""Attention to Detail"",""Organization"",""discipline"",""languages""]";"[""environment"",""research"",""geology"",""ocean"",""math"",""technology"",""Environment"",""Sustainability"",""Technology"",""Data"",""Business"",""Programming"",""Computers"",""Data Science"",""AI"",""Personal Growth"",""Mental Health"",""biology"",""medicine"",""health"",""animals"",""food"",""nature"",""events""]";"[""USA"",""Germany"",""UK"",""Canada"",""India"",""Australia""]";"[""Science & Research"",""Information Technology""]";;"[""Science""]";;"[""Entomologist"",""Biostatistician"",""Hydrologist"",""Food Scientist"",""Ecologist"",""Cartographer"",""Conservation Scientist""]";[];
c60915c6-75de-4ee3-bf43-4bd1934732d2;Event Manager;Hospitality;Plans and executes events, conferences and festivals;;[];₹3,00,000 - ₹12,00,000;Recovering;;🎪;Medium;High;"[""Vendor Management"",""Event Planning"",""Budget Management"",""Discrete Event Simulation"",""Event Sourcing""]";2026-04-07 04:53:38.714603+00;"[""event"",""event management"",""events"",""hospitality"",""manager"",""tourism"",""wedding""]";[];Hospitality & Tourism;Event Management;[];"[""Edinburgh Napier University""]";$40K-$90K;;"[""organization""]";"[""events""]";"[""USA"",""UK"",""Australia"",""India"",""Germany"",""Canada""]";"[""Hospitality & Tourism"",""Event Management"",""Information Technology"",""Asset Management"",""MarTech"",""Live Events""]";"[""Event Management"",""Crisis Management""]";"[""Hospitality"",""Event Management""]";"[""Product Manager""]";"[""Event Manager"",""Hotel Manager"",""Product Manager"",""Project Manager"",""Construction Manager"",""Brand Manager"",""Demand Planning Manager"",""HR Manager"",""Logistics Manager"",""Compliance Manager"",""Field Marketing Manager"",""AI Product Manager"",""Flight Attendant"",""CRM Manager""]";"[""Information Security Manager - CISM""]";"[""Botswana""]"
2431f4c3-f31d-42f9-a636-d32816cf85b2;Voice Actor;Entertainment;Provide voices for animation, audiobooks, ads, and games;;[];₹3,00,000 - ₹25,00,000;Stable Growth;;🎙️;beginner;growing;"[""audio recording"",""Motion Design"",""voice acting"",""acting"",""diction""]";2026-04-06 06:52:54.166408+00;"[""actor"",""animation"",""dubbing"",""entertainment"",""media"",""narration"",""voice"",""voice over""]";[];Entertainment & Media;Film & Television;"[""Animation""]";[];85000;;"[""creativity""]";"[""film"",""arts""]";"[""USA"",""UK"",""Germany"",""Australia"",""Canada"",""India""]";"[""Artificial Intelligence & Machine Learning"",""Entertainment & Media""]";;"[""Entertainment""]";"[""Actor""]";"[""Voice Actor"",""Animator""]";[];
2f814060-bd80-4d65-9341-43b945da8ceb;Electrical Engineering;Engineering;Designing electrical and electronic systems;;[];$65K-$130K;Growing with IoT and EV demand;;⚡;Hard;High;"[""Power Electronics"",""MATLAB"",""PCB"",""Circuit Design"",""Embedded Systems"",""Mechanical Engineering"",""Civil Engineering"",""Prompt Engineering"",""ChatGPT Prompt Engineering""]";2026-03-09 03:35:36.335462+00;"[""electrical"",""electronics"",""circuits"",""power systems""]";"[""Electrical Engineer"",""Electronics Engineer"",""Power Systems Engineer""]";Manufacturing & Industrial;Real Estate & Construction;"[""Electronics Engineering"",""Electrical Engineering"",""Mechanical Engineering"",""Industrial Engineering"",""Aerospace Engineering"",""Civil Engineering"",""Electrical Machines"",""Ceramic Engineering"",""Chemical Reaction Engineering"",""Chemical Engineering"",""Biomedical Engineering"",""Software Engineering""]";"[""ETH Zurich"",""Hanyang University"",""Heriot-Watt University"",""NIT Surathkal"",""NIT Trichy""]";$65K-$130K;;"[""planning"",""negotiation""]";"[""engineering"",""property""]";"[""USA"",""UK"",""Australia"",""India"",""Germany"",""Canada""]";"[""Manufacturing & Industrial"",""Civil Engineering"",""Engineering Procurement"",""Heavy Engineering"",""Marine Engineering"",""Coal Mining"",""Mining Equipment"",""Lithium Mining"",""Internet of Things"",""Electric Vehicles"",""Elevator & Escalator"",""Chemical & Materials""]";"[""Engineering Education""]";"[""Electrical Engineering"",""Semiconductor Engineering"",""Ceramic Engineering"",""Marine Engineering"",""Nuclear Engineering"",""Automotive Engineering"",""Chemical Engineering"",""Mechanical Engineering"",""Telecommunications""]";"[""Aerospace Engineering"",""Mechanical Engineering"",""Biomedical Engineering"",""Civil Engineering"",""Software Engineering""]";"[""Electrical Engineer"",""Engineering Manager"",""Marine Engineer"",""Construction Manager"",""Agricultural Engineer"",""Industrial Engineer"",""Building Inspector"",""Electrician"",""Nuclear Engineer"",""Ergonomist"",""Fire Engineer"",""Geotechnical Engineer""]";"[""Data Engineering with Snowflake"",""Engineering Leadership Track"",""Prompt Engineering Professional"",""Site Reliability Engineering"",""Prompt Engineering for ChatGPT"",""PMP Certification Prep"",""Linear Algebra - MIT OCW"",""Neural Networks from Scratch""]";"[""El Salvador"",""Jamaica""]"
10ad785d-c58c-4ec9-a7d3-b145ce526b26;Journalism & Media;Media;Investigating, reporting, and communicating news and stories;;[];$35K-$90K;Shifting to digital media;;📰;Medium;Medium;"[""Video Production"",""Writing"",""Interviewing"",""Social Media"",""Research"",""Social Media Marketing""]";2026-03-09 03:35:36.335462+00;"[""journalism"",""media"",""news"",""reporting"",""broadcasting""]";"[""Journalist"",""Editor"",""Reporter"",""News Anchor""]";Entertainment & Media;Publishing & Journalism;"[""Journalism"",""Film Studies"",""Journalism & Mass Communication""]";"[""Northwestern University"",""Columbia University"",""Concordia University"",""Aligarh Muslim University"",""Indiana University Bloomington"",""ISCTE-IUL Lisbon"",""Jamia Millia Islamia"",""NIT Rourkela"",""Monash University Malaysia""]";$80,000;;"[""creativity""]";"[""media""]";"[""USA"",""UK"",""Australia"",""Germany"",""India"",""Canada""]";"[""Entertainment & Media"",""News Media"",""Media Buying"",""Broadcasting"",""Educational Publishing""]";"[""Publishing & Journalism"",""Media & Entertainment"",""Digital Content & Social Media""]";"[""Journalism"",""Content Creation & Media"",""Social Media Management"",""Criminal Justice""]";;"[""Editor"",""Journalist"",""Content Strategist""]";"[""Premiere Pro Video Editing"",""Meta Social Media Marketing Certificate""]";"[""Cambodia"",""Estonia"",""Croatia"",""Latvia""]"
8539c942-a3b4-4beb-809d-bb2dfdd99262;Cartographer;Geospatial Science;Create maps and spatial data visualizations;Process satellite data, create digital maps, analyze terrain, support urban planning;[];₹3,50,000-₹12,00,000;GIS technology expanding applications;Drone mapping and real-time geographic data growing;🗺️;Intermediate;Stable;"[""Programming"",""Data Visualization"",""GIS"",""Surveying"",""Remote Sensing""]";2026-04-04 06:37:36.623731+00;"[""arts"",""cartographer"",""creative"",""geospatial"",""science""]";[];Arts & Creative;Mining & Resources;[];[];85000;;"[""innovation"",""safety"",""analytical"",""systems thinking"",""Analytical Skills"",""Problem Solving"",""Critical Thinking"",""Logical Thinking"",""Analytical Thinking"",""Innovation"",""Self-awareness"",""Emotional Intelligence"",""research"",""empathy"",""Communication"",""Attention to Detail"",""Organization"",""discipline"",""patience"",""precision"",""planning"",""negotiation"",""problem-solving"",""organization""]";"[""environment"",""geology"",""ocean"",""math"",""technology"",""Environment"",""Sustainability"",""Technology"",""Data"",""Business"",""Programming"",""Computers"",""Data Science"",""AI"",""Personal Growth"",""Mental Health"",""biology"",""animals"",""Visuals"",""Productivity"",""Mathematics"",""Science"",""sports"",""health""]";"[""USA"",""Germany"",""UK"",""Canada"",""India"",""Australia""]";"[""Arts & Creative""]";;"[""Geospatial Science""]";"[""Cartographer""]";"[""Cartographer""]";[];
