id;name;description;icon_emoji;keywords;created_at;demand_level;avg_salary_usd;growth_trajectory;soft_skills;interests;countries_in_demand;related_sectors;related_domains;related_careers;related_job_roles;related_skills;related_subjects;related_universities;related_courses;related_countries
44d818d0-6644-41ce-a3d3-8d07eead16f8;Lithium Mining;;🏭;[];2026-04-27 04:20:04.488691+00;Medium;$85,000;Stable;"[""safety""]";"[""geology""]";"[""USA"",""UK"",""Australia"",""Canada""]";"[""Mining & Resources"",""Manufacturing"",""Battery Recycling"",""Chemical Recycling"",""Environmental Consulting""]";"[""Mining Engineering"",""Petroleum Engineering"",""Civil Engineering"",""Chemical Engineering"",""Mechanical Engineering"",""Electrical Engineering""]";"[""Civil Engineering"",""Accounting & Finance"",""Aerospace Engineering"",""Electrical Engineering"",""Mechanical Engineering""]";"[""Demand Planning Manager"",""Engineering Manager"",""Petroleum Engineer"",""Quality Assurance Analyst""]";"[""Strategic Planning"",""Problem Solving"",""Financial Modeling"",""Civil Engineering"",""Mechanical Engineering""]";"[""Manufacturing"",""Civil Engineering"",""Chemical Engineering"",""Electrical Engineering"",""Mechanical Engineering""]";;"[""Engineering Leadership Track""]";
cc0f1b63-a7f6-4bda-a696-48d4ae885eec;Outsourcing - BPO;;🏭;[];2026-04-27 04:20:04.488691+00;Medium;$40K-$90K;Recovering;"[""organization""]";"[""events""]";"[""USA"",""UK"",""Australia"",""India"",""Germany"",""Canada""]";;;;;"[""Event Sourcing"",""ClickHouse""]";;;;"[""Guyana"",""Angola""]"
42556df6-8e99-4763-92a5-a745094f701e;FinTech;;🏭;[];2026-04-27 04:20:04.488691+00;High;$75,000;Stable;"[""analytical"",""Numeracy"",""Attention to Detail"",""Organization"",""precision"",""Leadership"",""service"",""research"",""Problem Solving"",""Analytical Thinking"",""Innovation"",""Analytical Skills"",""Logical Thinking"",""Critical Thinking"",""Communication"",""innovation"",""systems thinking"",""Self-awareness"",""Emotional Intelligence"",""discipline"",""patience"",""planning"",""negotiation"",""problem-solving""]";"[""finance"",""Finance"",""Business"",""Accounting"",""Numbers"",""Management"",""Productivity"",""Data"",""law"",""policy"",""risk"",""technology"",""math"",""Technology"",""Science"",""Data Science"",""AI"",""Mathematics"",""Visuals"",""Programming"",""Computers"",""environment"",""Environment"",""Sustainability""]";"[""USA"",""UK"",""Australia"",""Canada"",""Germany"",""India""]";"[""FinTech"",""Fintech Lending"",""Embedded Finance"",""Finance Education"",""Financial Services""]";"[""Accounting & Finance"",""International Business""]";"[""Financial Analyst"",""Accounting & Finance""]";"[""Financial Analyst"",""Financial Planner"",""Chief Technology Officer""]";"[""Financial Modeling"",""Financial Analysis""]";"[""Finance"",""Corporate Finance"",""International Law"",""International Relations""]";;"[""Behavioral Finance"",""Introduction to Financial Accounting"",""Financial Modeling & Valuation"",""Excel for Finance Professionals"",""Financial Markets by Robert Shiller"",""Introduction to Accounting""]";
c47d1764-bccd-4037-86e9-1195fdaaad26;Pharmaceuticals;Drug discovery and manufacturing;💊;"[""pharma"",""drugs"",""medicine""]";2026-04-17 03:52:52.139936+00;Very High;$95,000;Strong Growth;"[""research""]";"[""biology"",""medicine""]";"[""USA"",""India"",""UK"",""Canada"",""Australia"",""Germany""]";"[""Pharmaceuticals""]";"[""Bioethics"",""Medicine & Surgery"",""Dermatology"",""Chiropractic"",""Physical Therapy""]";"[""Medicine"",""Pharmacy"",""Pharmacist""]";;"[""AlphaFold""]";;;;"[""India"",""Singapore"",""Belgium"",""Ireland"",""Germany"",""United Kingdom"",""Denmark"",""France"",""Switzerland"",""Spain"",""Jamaica""]"
cda6d3fc-d904-4d74-9ac0-80e246958da0;Mental Health & Wellness;Therapy and counseling;🧠;"[""mental health"",""therapy"",""wellness""]";2026-04-17 03:52:52.139936+00;Very High;$70,000;Rapid Growth;"[""empathy""]";"[""psychology""]";"[""USA"",""Canada"",""Australia"",""UK""]";"[""Corporate Wellness"",""Community Health"",""Mental Health"",""Esoteric Wellness"",""Behavioural Health"",""Wellness & Fitness"",""Mental Health Services"",""Public Health""]";"[""Counseling Psychology"",""Speech Pathology"",""Psychiatry"",""Clinical Psychology""]";"[""Psychiatrist"",""Nutritionist"",""Acupuncturist"",""Clinical Psychologist"",""Art Therapist"",""Psychology"",""Public Health""]";;;"[""Public Health""]";;"[""Public Health Foundations"",""Stanford Introduction to Food and Health""]";
4faa8118-ea6a-49d8-83c6-177adc2a5591;Cybersecurity;Protection of computer systems, networks, and data from digital attacks;🔐;"[""security"",""infosec"",""ethical hacking"",""cryptography""]";2026-04-13 17:00:50.834588+00;Medium;$70,000;Rapidly Growing;"[""vigilance"",""Problem Solving"",""Analytical Thinking""]";"[""security"",""Technology"",""Security"",""Computers""]";"[""USA"",""UK"",""Germany""]";"[""Security Services""]";"[""Cybersecurity"",""Cryptography""]";"[""Locksmith"",""Ethical Hacker"",""Cybersecurity""]";;"[""Cryptography"",""Ethical Hacking"",""Cybersecurity Fundamentals"",""Cybersecurity"",""D3.js"",""Cloudflare Workers""]";"[""Cybersecurity""]";"[""Loyola Marymount University"",""Middlesex University"",""EPFL"",""ETH Zurich"",""Tsinghua University"",""University of Vienna"",""Kyoto University"",""Concordia University"",""Lancaster University"",""Aligarh Muslim University"",""Case Western Reserve University"",""Curtin University"",""Hanyang University"",""Edinburgh Napier University"",""Brigham Young University"",""Heriot-Watt University"",""University of New South Wales"",""Cranfield University"",""Delhi Technological University"",""Indiana University Bloomington"",""Aalto University"",""Aarhus University"",""Erasmus University Rotterdam"",""Iowa State University"",""Jindal Global University"",""Keio University"",""Ohio State University"",""Oregon State University"",""Northwestern University Qatar"",""Massey University""]";"[""Cybersecurity Foundations - SANS"",""Cybersecurity Fundamentals"",""AI for Everyone - Coursera""]";"[""Eritrea""]"
19482469-945b-4464-be85-982865024d26;Venture Capital & Private Equity;Investment in startups and companies through equity financing;💰;"[""VC"",""PE"",""startup funding"",""investment"",""angel investing""]";2026-04-13 17:00:50.834588+00;High;50000;Medium;"[""analytical"",""Numeracy"",""Attention to Detail"",""Organization"",""precision"",""Leadership""]";"[""finance"",""Finance"",""Business"",""Accounting"",""Numbers"",""Management"",""Productivity"",""Data""]";"[""USA"",""UK"",""Australia"",""Canada""]";"[""Financial Services""]";;"[""Financial Analyst"",""Accounting & Finance""]";;;"[""Finance""]";"[""Cranfield University"",""Central European University"",""Tel Aviv University""]";;
a92286f9-4118-4f14-9e78-622078bc9146;Climate Tech;Carbon and climate solutions;🌍;"[""climate"",""carbon"",""sustainability"",""esg""]";2026-04-17 03:52:52.139936+00;Very High;$110,000;Rapid Growth;"[""innovation""]";"[""environment""]";"[""USA"",""Germany"",""UK"",""Canada"",""India"",""Australia""]";"[""Climate Tech"",""Environmental Services""]";"[""Energy & Renewables"",""Organic Chemistry"",""Environmental Science"",""Sustainability & ESG"",""Meteorology"",""Permaculture""]";"[""Meteorologist"",""Renewable Energy"",""Environmental Science"",""Urban Farmer""]";"[""Climate Risk Analyst""]";;"[""Climate Modeling"",""Organic Chemistry""]";"[""Ohio State University""]";"[""Climate Change Solutions""]";
0b29752b-0834-4939-a458-43c2afa2aec3;Event Management;;🏭;[];2026-04-27 04:20:04.488691+00;Medium;$40K-$90K;Recovering;"[""organization""]";"[""events""]";"[""USA"",""UK"",""Australia"",""India"",""Germany"",""Canada""]";"[""Event Management"",""Crisis Management""]";"[""Event Management""]";"[""Event Manager""]";"[""Event Manager""]";"[""Discrete Event Simulation"",""Event Sourcing""]";;"[""Goa Institute of Management""]";;"[""Botswana""]"
4bcfad71-8832-46d0-8257-6fd55ade5b2a;Beverages;;🏭;[];2026-04-27 04:20:04.488691+00;Medium;$60,000;From cook to executive chef;"[""patience"",""creativity""]";"[""food"",""arts""]";"[""USA"",""Germany"",""UK"",""Canada"",""India"",""Australia""]";"[""Craft Beverages"",""Beverage Alcohol""]";;;;;;;;
7f0a8abb-1864-40ba-9455-4def50b05f71;HVAC Systems;;🏭;[];2026-04-27 04:20:04.488691+00;High;40000;Transforming;"[""safety"",""planning"",""negotiation"",""precision"",""Creativity"",""Attention to Detail"",""creativity"",""service"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""Analytical Skills"",""engineering"",""organization"",""design"",""analytical"",""Critical Thinking"",""Communication"",""Analytical Thinking"",""Innovation"",""Organization"",""research""]";"[""energy"",""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""policy"",""aviation"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""music"",""arts"",""film"",""environment"",""Environment"",""Sustainability""]";"[""USA"",""Germany"",""UK"",""Australia"",""India"",""Canada""]";;;;"[""HVAC Technician""]";;"[""Control Systems""]";;;
2608e095-1b19-41c6-a7e3-84775606a81f;Software Development;Building software products;💻;"[""software"",""programming"",""coding""]";2026-04-17 03:52:52.139936+00;Very High;$115,000;Rapid Growth;"[""problem-solving""]";"[""technology"",""coding""]";"[""USA"",""India"",""UK""]";"[""Information Technology"",""Software Development"",""Property Development"",""Game Development"",""Augmented Reality""]";"[""Software Engineering"",""Computer Science"",""Game Development""]";"[""Software Engineering"",""Game Development""]";;"[""Blockchain Development"",""Research & Development"",""Delta Lake"",""Cloudflare Workers""]";"[""Mobile Development"",""Child Development"",""Software Engineering"",""Web Development""]";"[""JNU Delhi""]";"[""The Complete Android App Development Bootcamp"",""Game Development with Unity"",""LangChain for LLM Application Development"",""iOS App Development with Swift"",""Android App Development with Kotlin"",""English for Career Development"",""Full Stack Web Development with React"",""The Complete JavaScript Course 2024"",""The Complete iOS App Development Bootcamp"",""Introduction to Computer Science and Programming Using Python""]";"[""Uruguay"",""Côte d'Ivoire""]"
8391af5c-9458-44c8-aa59-4a443c6aaa9e;Fintech;Technology-driven financial services;💳;"[""fintech"",""payments"",""crypto""]";2026-04-17 03:52:52.139936+00;Very High;$110,000;Rapid Growth;"[""innovation""]";"[""technology"",""finance""]";"[""USA"",""UK"",""Canada"",""Australia"",""Germany"",""India""]";"[""FinTech"",""Fintech Lending"",""Augmented Reality""]";;"[""Blockchain & Web3""]";;"[""Cryptography"",""D3.js"",""Cassandra"",""Dropwizard"",""DynamoDB"",""Elixir"",""Bubble.io"",""C++ STL""]";;"[""ISI Kolkata"",""Nanyang Polytechnic""]";"[""Neural Networks from Scratch""]";"[""Grenada""]"
271fe813-e948-49d9-8db1-bc2f04a3240c;Leisure Travel;;🏭;[];2026-04-27 04:20:04.488691+00;High;$60K-$120K;Stable Growth;"[""Attention to Detail"",""Organization"",""Analytical Skills"",""Problem Solving""]";"[""Business"",""Productivity"",""Data"",""Environment"",""Sustainability"",""Technology""]";"[""USA"",""Canada"",""Australia"",""Germany"",""UK""]";"[""Business Travel"",""Adventure Tourism""]";;"[""Space Tourism Coordinator""]";"[""Hotel Manager""]";;;;;"[""El Salvador""]"
4ea0e9fa-fe2e-4ca5-8caa-a5b0a557a909;Fisheries;;🏭;[];2026-04-27 04:20:04.488691+00;Medium;$55,000;Steady;"[""outdoors""]";"[""ocean""]";"[""USA"",""UK"",""Australia"",""India"",""Germany""]";"[""Fisheries & Aquaculture""]";"[""Fisheries Science"",""Water Resources Engineering"",""Marine Engineering"",""Veterinary Science""]";"[""Oceanographer"",""Veterinarian"",""Veterinary Science""]";"[""Veterinarian""]";;"[""Veterinary Science"",""Earth Sciences""]";"[""Pondicherry University""]";;"[""Norway"",""Maldives"",""Philippines""]"
b6279b70-58da-4c39-8c59-0000d999f17a;Forestry;;🏭;[];2026-04-27 04:20:04.488691+00;Stable;45000;Government initiatives increasing demand;"[""outdoors"",""analytical""]";"[""nature"",""law""]";"[""USA"",""UK"",""Australia"",""Canada"",""India"",""Germany""]";"[""Forestry & Timber""]";"[""Forestry""]";"[""Forestry Officer""]";;;;"[""Oregon State University"",""Pondicherry University""]";;"[""Chile"",""Finland""]"
a0e15bb6-fe39-4380-8458-d2939a3311a3;Nursing Services;;🏭;[];2026-04-27 04:20:04.488691+00;Very High;$80,000;Diverse specialization opportunities;"[""empathy""]";"[""medicine"",""health""]";"[""USA"",""India"",""UK"",""Canada"",""Australia"",""Germany""]";"[""Funeral Services"",""Active Living""]";"[""Nursing""]";"[""Nursing""]";;"[""Nursing & Patient Care""]";"[""Nursing""]";"[""Birkbeck University of London"",""University of Vienna"",""Brown University"",""Kyoto University"",""Case Western Reserve University"",""Curtin University"",""Brigham Young University"",""University of New South Wales"",""Indiana University Bloomington"",""Osaka University"",""Drexel University""]";;
6b2cdb87-4334-479d-bd26-b3d50f9a6820;Legal Services;Law and compliance;⚖️;"[""law"",""legal"",""compliance""]";2026-04-17 03:52:52.139936+00;High;$110,000;Stable;"[""analytical""]";"[""law""]";"[""USA"",""UK"",""Germany""]";"[""Legal Services"",""Risk & Compliance"",""Demolition Services"",""Funeral Services""]";"[""Taxation"",""Law & Legal Studies"",""Criminal Justice"",""Gender Studies""]";"[""Forensic Accountant"",""Cybersecurity"",""Compliance Officer"",""Law"",""Judge""]";;;"[""Business Law""]";"[""Boston College"",""Jindal Global University""]";;
9664894e-7a59-4ee4-9225-98fdc1913ed4;Leather Products;;🏭;[];2026-04-27 04:20:04.488691+00;Medium;$50K-$110K;Steady;"[""design"",""planning"",""negotiation"",""Leadership"",""Organization"",""Attention to Detail"",""creativity"",""Creativity"",""systems thinking"",""Technical Aptitude"",""Problem Solving"",""analytical"",""Communication"",""precision"",""service"",""problem-solving"",""Logical Thinking"",""innovation"",""safety"",""Analytical Skills"",""Numeracy"",""vigilance"",""patience"",""Collaboration""]";"[""home"",""engineering"",""property"",""Business"",""Management"",""Productivity"",""Data"",""fashion"",""design"",""art"",""arts"",""Design"",""Art"",""Visuals"",""technology"",""Technology"",""Cloud Computing"",""IT"",""business"",""marketing"",""Marketing"",""Online"",""beauty"",""media""]";"[""USA"",""UK"",""Australia"",""Canada"",""Germany"",""India""]";"[""Luxury & Premium""]";"[""Fine Arts""]";"[""Upholsterer"",""Jeweler""]";"[""Brand Manager""]";"[""Color Theory""]";"[""Aesthetics"",""Visual Arts"",""Fine Arts""]";;;
16251ee2-7a83-4855-b3bf-ff246180dc97;Legal & Compliance;Legal services, regulatory compliance, and dispute resolution;⚖️;"[""law"",""legal"",""compliance"",""regulation"",""litigation""]";2026-04-13 17:00:50.834588+00;High;$110,000;Stable;"[""analytical"",""Problem Solving"",""Analytical Thinking""]";"[""law"",""Technology"",""Security"",""Computers""]";"[""USA"",""UK"",""Germany""]";"[""Legal Services"",""Risk & Compliance""]";"[""Law & Legal Studies"",""Taxation"",""Criminal Justice"",""Comparative Literature""]";"[""Patent Attorney"",""Law"",""Forensic Accountant"",""Judge"",""Cybersecurity"",""Compliance Officer"",""Criminologist""]";;"[""Anchor (Solana)""]";"[""Business Law""]";"[""Boston College"",""Jamia Millia Islamia""]";;"[""Congo""]"
188e9a03-b30c-40d4-a082-cf28ed42acce;Market Research;;🏭;[];2026-04-27 04:20:04.488691+00;High;$70,000;Steady;"[""empathy"",""research"",""discipline"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""service"",""analytical"",""Analytical Skills"",""Critical Thinking"",""Logical Thinking"",""Problem Solving"",""Analytical Thinking"",""Innovation"",""innovation"",""systems thinking"",""Communication"",""Attention to Detail"",""Organization""]";"[""medicine"",""health"",""biology"",""psychology"",""Personal Growth"",""Mental Health"",""Psychology"",""Self-Improvement"",""Human Behavior"",""policy"",""math"",""technology"",""animals"",""Data"",""Technology"",""Business"",""Programming"",""Computers"",""Data Science"",""AI"",""sports"",""environment"",""Environment"",""Sustainability""]";"[""USA"",""Canada"",""Australia"",""UK"",""India"",""Germany""]";"[""Market Research"",""Clinical Research""]";"[""Operations Research""]";;"[""Clinical Research Coordinator"",""Psychologist (Research)""]";"[""Research & Development""]";;;"[""UX Research Fundamentals""]";
58ad152a-1c96-4fda-a6c5-6d3219b65245;Hotels - Budget;;🏭;[];2026-04-27 04:20:04.488691+00;High;$50K-$90K;Stable;"[""analytical"",""Numeracy"",""Attention to Detail"",""Organization"",""precision"",""Leadership"",""service""]";"[""finance"",""Finance"",""Business"",""Accounting"",""Numbers"",""law"",""Management"",""Productivity"",""Data"",""policy"",""risk""]";"[""USA"",""UK"",""Australia"",""Canada""]";"[""Boutique Hotels""]";;;"[""Budget Analyst""]";;;;;
c25a2e32-d147-4308-8186-1c643ad2c74c;Courier Services;;🏭;[];2026-04-27 04:20:04.488691+00;Medium;$50,000;Steady;"[""reliability""]";"[""logistics""]";"[""USA"",""UK"",""Australia"",""Canada"",""Germany"",""India"",""Bangladesh"",""Colombia"",""United States"",""United Arab Emirates""]";"[""Postal & Courier"",""Funeral Services"",""Security Services"",""Legal Services"",""Translation Services"",""Professional Services""]";"[""E-Commerce"",""Journalism"",""Cybersecurity"",""Law & Legal Studies"",""Mass Communication"",""Accounting & Finance""]";;"[""Customer Success Manager"",""Compliance Manager""]";"[""Cloud Security"",""Network Security"",""SEO"",""Sales"",""Accounting"",""Copywriting"",""Cybersecurity"",""SQL & Databases"",""Agile Coaching"",""SEM / Google Ads""]";"[""Computer Science"",""Journalism & Mass Communication"",""Cyber Law"",""Journalism"",""Accounting"",""Contract Law""]";;"[""The Complete Cyber Security Course"",""Node.js Developer Course"",""CompTIA Security+"",""The Complete JavaScript Course"",""Information Security Manager - CISM"",""The Complete JavaScript Course 2024""]";"[""Colombia"",""United States"",""United Arab Emirates""]"
6629eca4-d50f-4ad5-a68a-d8eaf5ce7142;Cinema & Theatre;;🏭;[];2026-04-27 04:20:04.488691+00;Medium;$50K-$110K;Strong Growth;"[""creativity"",""Creativity"",""Attention to Detail"",""planning"",""precision"",""systems thinking"",""Technical Aptitude"",""Problem Solving""]";"[""fashion"",""beauty"",""Design"",""Art"",""Visuals"",""media"",""engineering"",""design"",""art"",""arts"",""film"",""making"",""technology"",""Technology"",""Cloud Computing"",""IT"",""music""]";"[""USA"",""UK"",""Australia"",""Germany""]";"[""Fine Arts"",""Arts & Culture"",""Arts & Creative"",""Creator Economy""]";"[""Theatre Studies"",""Cinematography"",""Fine Arts"",""Sound Engineering"",""Entrepreneurship""]";"[""Sound Engineer"",""Entrepreneurship""]";;"[""Color Theory"",""Design Thinking"",""Critical Thinking""]";"[""Cinematography"",""Music Theory"",""Critical Theory"",""Fine Arts"",""Aesthetics"",""Literature""]";"[""University of Southern California""]";"[""The Complete Productivity Bootcamp"",""The Complete Web Developer Bootcamp"",""Premiere Pro Video Editing"",""Entrepreneurship Essentials"",""Design Thinking for Innovation""]";
3752b83c-6e34-4523-8179-eec174368f4e;Creator Economy;Influencer and creator tools;🎨;"[""creator"",""influencer"",""content""]";2026-04-17 03:52:52.139936+00;High;$60,000;Rapid Growth;"[""creativity""]";"[""content""]";"[""USA"",""UK"",""India""]";"[""Creator Economy"",""Digital Content & Social Media"",""Media & Entertainment""]";"[""Content Creation & Media"",""Social Media Management"",""Cinematography""]";"[""Copywriter""]";"[""Creator Operations Manager""]";;"[""Cinematography""]";;;"[""El Salvador""]"
