id;name;description;industry_id;industry_name;icon_emoji;keywords;created_at;demand_level;avg_salary_usd;growth_trajectory;soft_skills;interests;countries_in_demand;related_sectors;related_domains;related_careers;related_job_roles;related_skills;related_subjects;related_universities;related_courses;related_countries;related_industries
d0095aa2-3eae-44c5-b22a-c2d0b68fec2c;Clean Cooking;;;;📊;[];2026-04-27 04:20:23.971159+00;High;$70,000;Steady;;;"[""Burkina Faso"",""Congo"",""Guinea"",""Iraq"",""Laos""]";;;;;;;;"[""Clean Code Bootcamp""]";"[""Burkina Faso"",""Congo"",""Guinea"",""Iraq"",""Laos""]";
bba49832-904c-4668-bfb2-4f808eccd1ca;Experiential Retail;;;Banking - Retail;📊;[];2026-04-27 04:20:23.971159+00;High;$80,000;Steady;"[""creativity"",""Communication"",""Creativity"",""service""]";"[""marketing"",""content"",""media"",""Marketing"",""Business"",""Online"",""business""]";"[""USA"",""UK"",""India""]";"[""Convenience Retail"",""Retail & Consumer Goods""]";;;;;;;;;"[""Banking - Retail"",""Fashion Retail"",""Consumer Goods & Retail"",""Retail & E-commerce""]"
d64a6498-78f1-4d44-9375-fee3d2fd8493;Conversational AI;;;;📊;[];2026-04-27 04:20:23.971159+00;Very High;$90,000;High;"[""organization"",""safety"",""design"",""analytical"",""Analytical Skills"",""Critical Thinking"",""Communication"",""Analytical Thinking"",""Innovation"",""Attention to Detail"",""Organization"",""Logical Thinking"",""research"",""Problem Solving"",""innovation"",""systems thinking"",""Self-awareness"",""Emotional Intelligence"",""discipline"",""patience"",""languages"",""service"",""planning"",""Technical Aptitude""]";"[""events"",""ocean"",""home"",""math"",""technology"",""Data"",""Technology"",""Business"",""Visuals"",""Data Science"",""AI"",""Productivity"",""Mathematics"",""Science"",""Programming"",""Computers"",""environment"",""Environment"",""Sustainability"",""Personal Growth"",""Mental Health"",""sports"",""health"",""food""]";"[""USA"",""UK"",""Canada"",""Australia"",""Germany"",""India""]";;;;;;;;"[""Algorithms Specialization - Stanford"",""AI for Everyone - Coursera""]";;
9c86e3fd-cf1f-4593-b2b8-778e4e862642;Corporate Wellness;;;Fitness & Wellness;📊;[];2026-04-27 04:20:23.971159+00;Very High;$70,000;Rapid Growth;"[""empathy""]";"[""psychology""]";"[""USA"",""Canada"",""Australia"",""UK""]";"[""Corporate Training"",""Esoteric Wellness"",""Wellness & Fitness""]";;;;;"[""Corporate Finance""]";;;;"[""Fitness & Wellness"",""Mental Health & Wellness""]"
be979552-ec61-4459-8390-f29322b3073f;Family Offices;;;;📊;[];2026-04-27 04:20:23.971159+00;High;$70,000;Steady;;;"[""Burkina Faso""]";;;;;;;;;"[""Burkina Faso""]";
3a42de89-7481-4e11-9ae8-e023abbb7d17;Enterprise SaaS;;;;📊;[];2026-04-27 04:20:23.971159+00;High;$55K-$150K;Stable Growth;"[""research"",""analytical"",""Problem Solving"",""Analytical Thinking"",""Innovation"",""Analytical Skills"",""Logical Thinking"",""Critical Thinking"",""Communication"",""Attention to Detail"",""Organization"",""innovation"",""systems thinking"",""Self-awareness"",""Emotional Intelligence"",""discipline"",""precision"",""patience"",""planning"",""negotiation"",""problem-solving"",""Technical Aptitude"",""Curiosity"",""Forward Thinking""]";"[""technology"",""math"",""Technology"",""Science"",""Data Science"",""AI"",""Mathematics"",""Data"",""Business"",""Visuals"",""Productivity"",""Programming"",""Computers"",""environment"",""Environment"",""Sustainability"",""Personal Growth"",""Mental Health"",""sports"",""health"",""making"",""food"",""engineering"",""property""]";"[""USA"",""UK"",""Germany"",""Canada"",""Australia"",""India""]";;;;;"[""BlazeMeter"",""Dagster"",""ClickHouse""]";;;"[""Salesforce Administrator""]";;
29363ff0-d31d-470f-b589-2b70bceae84d;Demolition Services;;;IT Services;📊;[];2026-04-27 04:20:23.971159+00;Very High;$100,000;High;"[""Technical Aptitude"",""Problem Solving"",""analytical""]";"[""Technology"",""Cloud Computing"",""IT"",""Garment Exports"",""Textile Industry"",""Agricultural Productivity"",""IT Sector Growth"",""Poverty Reduction"",""law""]";"[""USA"",""UK"",""Germany"",""Bangladesh""]";;"[""Welding & Fabrication""]";;;;;;;"[""Iraq""]";"[""IT Services"",""Legal Services""]"
0607c176-927f-4060-9dd4-bad77cfb41eb;Electric Two-wheelers;;;Electric Utilities;📊;[];2026-04-27 04:20:23.971159+00;High;$95,000;Transforming;"[""safety""]";"[""energy""]";"[""USA"",""Germany"",""UK""]";"[""Electric Vehicles""]";;;;"[""D3.js""]";;"[""NIT Trichy""]";;"[""El Salvador""]";"[""Electric Utilities"",""Electric Vehicles""]"
1d47d2f3-603a-45fc-bb40-d69f1ada4809;Faith Communities;;;;📊;[];2026-04-27 04:20:23.971159+00;Low;$45,000;Stable;"[""empathy"",""analytical"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""service"",""planning"",""negotiation"",""precision"",""Creativity"",""Attention to Detail"",""creativity"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills""]";"[""spirituality"",""research"",""psychology"",""Personal Growth"",""Mental Health"",""Psychology"",""Self-Improvement"",""Human Behavior"",""policy"",""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""aviation"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science""]";"[""USA"",""Canada"",""Australia"",""UK"",""India"",""Germany""]";;"[""Religious Studies"",""Islamic Studies""]";;;;;;;;
f85c4709-618b-43c4-9e01-50b45678661a;Printing & Packaging;Print and packaging;;Packaging Materials;📦;"[""printing"",""packaging""]";2026-04-17 03:52:52.139936+00;Medium;$55,000;Stable;"[""precision""]";"[""design""]";"[""USA"",""UK"",""Australia"",""India"",""Germany"",""Canada""]";;;;;;;;;;"[""Packaging Materials"",""Household Products""]"
31844d2d-04d6-4c64-913f-a2c61350c32d;Body Care;;;Dental Care;📊;[];2026-04-27 04:20:23.971159+00;High;$80,000;Diverse specialization opportunities;"[""empathy"",""service"",""analytical"",""Numeracy"",""Attention to Detail"",""research"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""discipline"",""Analytical Skills"",""Critical Thinking"",""Logical Thinking"",""Problem Solving"",""Analytical Thinking"",""Innovation"",""innovation"",""systems thinking"",""Communication"",""Organization"",""planning"",""negotiation"",""problem-solving""]";"[""medicine"",""health"",""policy"",""psychology"",""risk"",""Finance"",""Business"",""Accounting"",""law"",""biology"",""Personal Growth"",""Mental Health"",""Psychology"",""Self-Improvement"",""Human Behavior"",""math"",""technology"",""animals"",""Data"",""Technology"",""Programming"",""Computers"",""Data Science"",""AI""]";"[""USA"",""UK"",""Australia"",""Canada"",""India"",""Germany""]";"[""Aging Care"",""Emergency Care"",""Beauty & Personal Care"",""Veterinary & Animal Care""]";;;;"[""Nursing & Patient Care""]";;;;;"[""Dental Care"",""Eye Care""]"
cff0992a-5ba2-40cf-a8a6-6606db879a63;Auto Components;;;Automotive Aftermarket;📊;[];2026-04-27 04:20:23.971159+00;High;$85,000;Transforming;"[""engineering"",""planning"",""negotiation"",""precision"",""Creativity"",""Attention to Detail"",""creativity"",""service"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills""]";"[""cars"",""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""policy"",""aviation"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""music"",""arts"",""film"",""environment"",""energy"",""Environment""]";"[""USA"",""UK"",""Australia"",""India"",""Germany""]";"[""Auto Manufacturing""]";;;;;;;;;"[""Automotive Aftermarket"",""Automotive OEM"",""Automotive""]"
1d873150-19df-41e8-a829-50ec0db5d9e9;Energy Storage;Battery technology and energy storage solutions;;Renewable Energy;🔋;"[""batteries"",""grid storage"",""lithium-ion""]";2026-04-13 17:01:27.211001+00;Very High;$95,000;Booming with green transition;"[""innovation"",""systems thinking"",""safety"",""Analytical Skills"",""Problem Solving""]";"[""environment"",""energy"",""Environment"",""Sustainability"",""Technology""]";"[""USA"",""Germany"",""UK""]";"[""Wind Energy"",""Solar Energy"",""Alternative Energy"",""Energy Efficiency"",""Energy & Utilities""]";"[""Energy & Renewables"",""Embedded Systems"",""Petroleum Geology"",""Dendrology"",""Speleology"",""Seismology"",""Physics""]";"[""Renewable Energy"",""Renewable Energy Consultant""]";"[""Energy Trader""]";"[""D3.js"",""Elixir""]";;"[""EPFL""]";"[""The Business of Renewable Energy"",""Renewable Energy Specialization""]";"[""Gambia""]";"[""Energy Storage"",""Energy & Utilities"",""Renewable Energy"",""Geothermal Energy"",""Green Hydrogen""]"
23051e2c-19e1-4ed9-a480-4e0a47db54ae;Funeral Services;Memorial services;;Legal Services;🕊️;"[""funeral"",""memorial""]";2026-04-17 03:52:52.139936+00;Low;$55,000;Stable;"[""empathy""]";"[""service""]";"[""USA"",""UK"",""Germany"",""Bangladesh"",""Australia"",""Canada"",""India""]";;"[""Religious Studies""]";;;;;;;;"[""Legal Services"",""IT Services"",""Architectural Services"",""Courier Services"",""Nursing Services"",""Language Services""]"
5fbb1dbb-dfdc-4a91-9f17-9f31c39c178f;Corporate Training;Professional development and workplace learning;;Education & EdTech;👔;"[""L&D"",""upskilling"",""corporate learning""]";2026-04-13 17:01:27.211001+00;High;$75,000;From analyst to CFO track;"[""Leadership"",""Organization"",""Attention to Detail"",""analytical"",""precision"",""Numeracy"",""empathy"",""creativity"",""communication"",""service""]";"[""Business"",""Management"",""Productivity"",""Data"",""finance"",""Finance"",""Accounting"",""Numbers"",""psychology"",""education"",""technology"",""teaching"",""business"",""policy"",""risk"",""law""]";"[""USA"",""UK"",""Australia"",""Canada""]";"[""Corporate Wellness""]";;;;"[""Project Management"",""Public Speaking"",""Leadership"",""Empathic Listening""]";"[""Corporate Finance""]";;;;"[""Consulting - Management""]"
c42a46da-f2d9-4110-9246-82bf396c9306;Combat Sports;;;Equestrian Sports;📊;[];2026-04-27 04:20:23.971159+00;growing;$70,000;Medium;"[""discipline"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""empathy"",""analytical"",""Analytical Skills"",""Critical Thinking"",""Logical Thinking"",""Problem Solving"",""Analytical Thinking"",""Innovation""]";"[""sports"",""Personal Growth"",""Mental Health"",""Psychology"",""Self-Improvement"",""Human Behavior"",""psychology"",""math"",""technology"",""health"",""Data"",""Technology"",""Business"",""Programming"",""Computers"",""Data Science"",""AI""]";"[""USA"",""Canada"",""Australia"",""UK"",""India"",""Germany""]";"[""Aquatic Sports"",""Sports Management"",""Sports Technology"",""Field Sports"",""Sports & Recreation""]";"[""Sports Management"",""Sports Science""]";"[""Sports Psychologist"",""Sports Science & Management""]";;;"[""Sports Science""]";;;;"[""Equestrian Sports"",""Sports & Fitness""]"
687a38cb-9461-43a8-9b4b-4b8d559e4001;Adventure Tourism;;;Medical Tourism;📊;[];2026-04-27 04:20:23.971159+00;Medium;$55,000;Global industry with travel perks;"[""innovation"",""service""]";"[""space"",""science"",""travel""]";"[""USA"",""Canada"",""Australia"",""UK"",""India"",""Germany""]";"[""Coastal Tourism"",""Dental Tourism"",""Hospitality & Tourism""]";"[""Hospitality & Tourism"",""Agritourism""]";"[""Space Tourism Coordinator"",""Hospitality & Tourism""]";;;;;;;"[""Medical Tourism"",""Hospitality & Tourism"",""Leisure Travel""]"
c1eb288f-b2de-456c-9ced-db10252a962c;Autonomous Driving;Self-driving vehicle technology and systems;;Automotive;🤖;"[""self-driving"",""ADAS"",""lidar"",""autonomous""]";2026-04-13 17:01:27.211001+00;High;$85,000;Transforming;"[""engineering"",""planning"",""negotiation"",""precision"",""Creativity"",""Attention to Detail"",""creativity"",""service"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills""]";"[""cars"",""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""policy"",""aviation"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""music"",""arts"",""film"",""environment"",""energy"",""Environment""]";"[""USA"",""UK"",""Australia"",""India"",""Germany""]";"[""Autonomous Vehicles""]";;;;"[""BeautifulSoup""]";"[""Autonomous Systems""]";;;;"[""Automotive Aftermarket"",""Automotive OEM"",""Automotive""]"
45d62741-049c-4606-859b-8531c305dbf5;Satellite Communications;Communication systems using orbital satellites;;Space & Satellite Technology;📡;"[""satcom"",""LEO"",""communication satellites""]";2026-04-13 17:01:27.211001+00;emerging;$65K-$140K;Rapid Growth;"[""innovation"",""precision""]";"[""space"",""science"",""aviation""]";"[""USA"",""India"",""UK"",""Australia"",""Germany"",""Canada""]";;"[""Communications & PR"",""Telecommunications"",""Mass Communication""]";;;;;;;;"[""Space & Satellite Technology""]"
d4184999-2aa2-47aa-8f80-ea32ff92874e;Astrobiology;;;;📊;[];2026-04-27 04:20:23.971159+00;emerging;$65K-$140K;Rapid Growth;"[""innovation"",""precision""]";"[""space"",""science"",""aviation""]";"[""USA"",""India"",""UK"",""Australia"",""Germany"",""Canada""]";;"[""Astronomy & Astrophysics"",""Helioseismology"",""Speleology"",""Chronobiology""]";"[""Astrobiology Researcher""]";;;;;;;
b1d3b7f2-78b0-44c4-99b0-3bcef0b01158;Alternative Proteins;;;;📊;[];2026-04-27 04:20:23.971159+00;High;$70,000;Steady;;;;"[""Alternative Energy""]";;;;"[""AlphaFold""]";;;;;
44826e60-9821-45e6-947a-813d4f8ffbdc;Autonomous Vehicles;;;Electric Vehicles;📊;[];2026-04-27 04:20:23.971159+00;High;$95,000;Transforming;"[""safety"",""planning"",""negotiation"",""precision"",""Creativity"",""Attention to Detail"",""creativity"",""service"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""Analytical Skills"",""engineering""]";"[""energy"",""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""policy"",""aviation"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""music"",""arts"",""film"",""environment"",""Environment"",""Sustainability""]";"[""USA"",""Germany"",""UK"",""Australia"",""India""]";"[""Autonomous Driving"",""Electric Vehicles""]";;;;"[""BeautifulSoup""]";"[""Autonomous Systems""]";;;;"[""Electric Vehicles"",""Automotive Aftermarket"",""Automotive OEM"",""Automotive""]"
116a7d40-3db7-41fe-9435-eb50deee34cf;Children's Education;;;Higher Education;📊;[];2026-04-27 04:20:23.971159+00;High;$85,000;Stable with leadership paths;"[""empathy"",""creativity"",""communication""]";"[""education"",""technology"",""teaching""]";"[""USA"",""UK"",""Germany"",""Canada"",""Australia"",""India""]";"[""Childcare & Early Education"",""Coding Education"",""Education Technology"",""Engineering Education"",""Finance Education"",""Higher Education"",""Education"",""K-12 Education""]";"[""Early Childhood Education"",""Education & Teaching"",""Translation Studies""]";"[""Education & Teaching""]";;;"[""Education"",""Special Education""]";"[""Manipal Academy of Higher Education"",""East China Normal University"",""Pontificia Universidad Católica de Chile""]";;;"[""Higher Education"",""K-12 Education"",""Education & EdTech""]"
f3ca482f-c18f-4f64-8e2f-f0ce69619812;Building Automation;;;Building Materials;📊;[];2026-04-27 04:20:23.971159+00;Very High;$75K-$150K;Exponential industrial demand;"[""precision"",""planning"",""negotiation"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""service"",""creativity"",""Creativity"",""Attention to Detail"",""innovation"",""systems thinking"",""safety"",""Analytical Skills""]";"[""making"",""engineering"",""property"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""policy"",""aviation"",""fashion"",""design"",""art"",""arts"",""Design"",""Art"",""Visuals"",""environment"",""energy"",""Environment"",""Sustainability""]";"[""USA"",""India"",""UK"",""Australia"",""Germany""]";;"[""Welding & Fabrication"",""Information Systems""]";"[""Robotics & Automation"",""Robotics Process Automation Developer""]";"[""Building Inspector""]";"[""Containerization"",""CFD Simulation"",""BeautifulSoup""]";;"[""ISCTE-IUL Lisbon""]";;;"[""Building Materials"",""Industrial Automation"",""Robotics & Automation"",""Cement & Concrete""]"
52c2739c-343d-4a9c-af3c-72025f1b5348;Clinical Research;;;Market Research;📊;[];2026-04-27 04:20:23.971159+00;High;$70,000;Rapid Growth;"[""empathy"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""research"",""discipline"",""service"",""analytical"",""Analytical Skills"",""Critical Thinking"",""Logical Thinking"",""Problem Solving"",""Analytical Thinking"",""Innovation"",""innovation"",""systems thinking"",""Communication"",""Attention to Detail"",""Organization""]";"[""psychology"",""Personal Growth"",""Mental Health"",""Psychology"",""Self-Improvement"",""Human Behavior"",""medicine"",""health"",""biology"",""policy"",""math"",""technology"",""animals"",""Data"",""Technology"",""Business"",""Programming"",""Computers"",""Data Science"",""AI"",""sports"",""environment"",""Environment"",""Sustainability""]";"[""USA"",""Canada"",""Australia"",""UK"",""India"",""Germany""]";"[""Clinical Medicine"",""Market Research""]";"[""Clinical Psychology"",""Operations Research""]";"[""Clinical Psychologist""]";"[""Clinical Research Coordinator"",""Clinical Psychologist"",""Psychologist (Research)""]";"[""Research & Development""]";"[""Clinical Pathology""]";"[""Case Western Reserve University""]";"[""UX Research Fundamentals""]";"[""Jamaica""]";"[""Market Research"",""Nutraceuticals""]"
b11364c2-de4a-48e5-8320-678efe1de5c5;Market Research;Consumer research;;Market Research;📊;"[""research"",""insights""]";2026-04-17 03:52:52.139936+00;High;$75,000;Steady;"[""analytical""]";"[""research""]";"[""USA"",""Canada"",""Australia"",""UK"",""India"",""Germany""]";"[""Clinical Research""]";"[""Operations Research"",""History""]";"[""Historian"",""Sociologist""]";"[""Psychologist (Research)"",""Clinical Research Coordinator""]";"[""Research & Development"",""UX Design""]";;;"[""UX Research Fundamentals""]";;"[""Market Research"",""MarTech"",""E-commerce Marketplaces""]"
be29ecc9-ac06-4ecd-aaa4-a383c0898cf9;Climate Tech;;;Climate Tech;📊;[];2026-04-27 04:20:23.971159+00;Very High;$110,000;Rapid Growth;"[""innovation""]";"[""environment""]";"[""USA"",""Germany"",""UK"",""Canada"",""India"",""Australia""]";;"[""Geoinformatics""]";;"[""Climate Risk Analyst""]";;"[""Climate Modeling""]";"[""Delhi Technological University""]";"[""Climate Change Solutions""]";;"[""Climate Tech""]"
aab85b7a-b09c-4a32-ba9c-ead55c03abaf;Disaster Relief;;;Hydropower;📊;[];2026-04-27 04:20:23.971159+00;Growing;$45K-$100K;Climate change increasing demand significantly;"[""research"",""analytical"",""Problem Solving"",""Analytical Thinking"",""Innovation"",""Analytical Skills"",""Logical Thinking"",""Critical Thinking"",""Communication"",""Attention to Detail"",""Organization"",""innovation"",""systems thinking"",""Self-awareness"",""Emotional Intelligence"",""discipline"",""precision"",""patience"",""planning"",""negotiation"",""problem-solving"",""Technical Aptitude"",""Curiosity"",""Forward Thinking""]";"[""technology"",""math"",""Technology"",""Science"",""Data Science"",""AI"",""Mathematics"",""Data"",""Business"",""Visuals"",""Productivity"",""Programming"",""Computers"",""environment"",""Environment"",""Sustainability"",""Personal Growth"",""Mental Health"",""sports"",""health"",""making"",""food"",""engineering"",""property""]";"[""USA"",""UK"",""Germany"",""Canada"",""Australia"",""India""]";;;"[""Disaster Management Specialist""]";;;"[""Disaster Management""]";;;"[""Dominican Republic"",""Iraq"",""Laos""]";"[""Hydropower""]"
1dc240eb-c31e-4852-b871-cc05c1a5a9b6;Sports & Recreation;Sports and fitness;;Sports & Fitness;⚽;"[""sports"",""fitness""]";2026-04-17 03:52:52.139936+00;High;$70,000;Strong Growth;"[""discipline""]";"[""sports""]";"[""USA"",""UK"",""Canada"",""India"",""Australia"",""Germany""]";"[""Sports Management"",""Sports Technology"",""Aquatic Sports"",""Combat Sports"",""Field Sports""]";"[""Sports Management"",""Sports Science"",""Orthopedics""]";"[""Kinesiologist"",""Sports Science & Management"",""Sports Psychologist""]";;;"[""Sports Science""]";;;;"[""Sports & Fitness"",""Equestrian Sports"",""Outdoor Recreation"",""Esports"",""Live Events""]"
443e6327-f818-4640-94c4-d989197eef93;Auto Manufacturing;Vehicle assembly, production, and quality control;;Automotive;🏭;"[""assembly"",""production"",""OEM"",""manufacturing""]";2026-04-13 17:01:27.211001+00;Medium;$65K-$130K;Steady;"[""precision"",""Creativity"",""Attention to Detail"",""creativity"",""service"",""planning"",""negotiation"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills""]";"[""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""policy"",""aviation"",""engineering"",""property"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""music"",""arts"",""film"",""environment"",""energy"",""Environment"",""Sustainability""]";"[""USA"",""UK"",""Australia"",""India"",""Germany""]";"[""Manufacturing"",""Auto Components"",""Bicycle Manufacturing""]";"[""Industrial Engineering"",""Mechanical Engineering""]";"[""Industrial Designer"",""Mechanical Engineering"",""Music & Audio""]";;"[""Mechanical Engineering""]";"[""Manufacturing""]";;;;"[""Manufacturing & Industrial"",""Music Industry"",""Film & Television"",""Aerospace Manufacturing"",""Chemical Manufacturing"",""Defense Manufacturing"",""Glass Manufacturing"",""Automotive Aftermarket"",""Automotive OEM"",""Automotive""]"
