id;title;domain;description;seniority_levels;avg_salary_usd;demand_level;skills_required;education_required;certifications;keywords;career_path_keywords;created_at;industry;sector;related_subjects;related_universities;related_domains;growth_trajectory;soft_skills;interests;countries_in_demand;related_careers;related_industries;related_sectors;related_skills;related_courses;related_countries
29174707-5501-4005-a002-046e7925f076;Clinical Psychologist;Clinical Psychology;Assesses and treats mental health disorders;"[""Intern"",""Licensed"",""Senior"",""Director""]";$60K-$120K;High;"[""CBT"",""psychotherapy"",""assessment"",""diagnosis"",""research""]";Doctorate in Psychology;[];"[""clinical psychology"",""therapy"",""mental health""]";"[""Psychology"",""Mental Health""]";2026-03-09 03:33:46.151983+00;Information Technology;Mental Health;"[""Clinical Pathology""]";"[""Brown University"",""Jindal Global University""]";"[""Audiology"",""Philosophy"",""Chronobiology""]";Rapid Growth;"[""empathy"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""discipline""]";"[""psychology"",""Personal Growth"",""Mental Health"",""Psychology"",""Self-Improvement"",""Human Behavior"",""health""]";"[""USA"",""Canada"",""Australia"",""UK""]";"[""Psychology"",""Clinical Psychologist"",""Art Therapist"",""Psychiatrist"",""Sports Psychologist""]";"[""Hospital Chains""]";"[""Clinical Research"",""Clinical Medicine""]";[];;"[""Gambia"",""Jamaica""]"
32b90504-0324-4027-bec0-3f65cf387e73;Pilot (Commercial);Aviation;Flies commercial aircraft for passenger transport;[];100000;Medium;"[""Aviation"",""Navigation"",""Communication""]";;[];[];"[""pilot"",""aviation"",""airline""]";2026-04-07 04:56:33.423341+00;Information Technology;Aerospace;[];[];[];Strong Growth;"[""precision""]";"[""aviation""]";"[""USA"",""India"",""UK"",""Germany"",""Australia"",""Canada""]";"[""Air Traffic Controller""]";;;[];;
1e5b6e91-aba2-4118-a604-bf7c987ae79d;Art Director;Creative Arts;Oversees visual aspects of creative projects;[];95000;Medium;"[""creative direction"",""design"",""typography"",""branding""]";;[];"[""art direction"",""creative"",""visual""]";"[""Graphic Design""]";2026-03-09 03:42:45.923926+00;Entertainment & Media;UI/UX Design;[];[];[];Growing with digital demand;"[""Creativity"",""Attention to Detail"",""creativity""]";"[""Design"",""Art"",""Visuals"",""music"",""arts"",""film"",""media"",""fashion""]";"[""USA"",""UK"",""Australia""]";"[""Graphic Design"",""Music & Audio"",""Film & Entertainment"",""Fashion Design""]";;;[];;
217fe58f-f5b7-4294-bc5a-87b4acc64c0f;Biostatistician;Science;Applies statistics to biological and health research;[];95000;Low;"[""statistics"",""R"",""SAS"",""clinical trials""]";;[];"[""biostatistics"",""research"",""clinical""]";"[""Biotechnology"",""Public Health""]";2026-03-09 03:42:45.923926+00;Information Technology;Market Research;"[""Nursing""]";"[""Brown University"",""Kyoto University"",""Aarhus University"",""Iowa State University"",""Ohio State University"",""Osaka University""]";"[""Genetics & Genomics""]";Steady;"[""innovation"",""analytical"",""safety"",""systems thinking"",""Analytical Skills"",""Problem Solving"",""Critical Thinking"",""Logical Thinking"",""Analytical Thinking"",""Innovation"",""Self-awareness"",""Emotional Intelligence"",""research"",""empathy""]";"[""environment"",""research"",""geology"",""ocean"",""math"",""technology"",""Environment"",""Sustainability"",""Technology"",""Data"",""Business"",""Programming"",""Computers"",""Data Science"",""AI"",""Personal Growth"",""Mental Health"",""biology"",""medicine"",""health"",""animals""]";"[""USA"",""Germany"",""UK"",""Canada"",""India"",""Australia""]";"[""Meteorologist"",""Historian"",""Sociologist"",""Ornithologist"",""Geologist"",""Herpetologist"",""Botanist"",""Nanotechnology"",""Oceanographer"",""Environmental Science"",""Biotechnology"",""Nursing"",""Entomologist"",""Zoologist""]";"[""Nutraceuticals"",""Diagnostic Labs"",""Healthcare IT"",""Fertilizers""]";;"[""UX Design""]";;"[""Guinea-Bissau"",""Kyrgyzstan"",""Belize""]"
469c7f0d-6c12-405b-a752-f6f5826ec34f;Fashion Merchandiser;Business;Plans and manages fashion retail strategies;[];$80,000;High;"[""merchandising"",""trend analysis"",""retail management""]";;[];"[""fashion"",""merchandising"",""retail""]";"[""Fashion Design""]";2026-03-09 03:42:45.923926+00;Information Technology;Property Development;"[""Fashion Design""]";"[""Goldsmiths University of London""]";"[""E-Commerce""]";Steady;"[""negotiation"",""Leadership"",""Organization"",""Attention to Detail"",""analytical"",""Numeracy"",""precision"",""creativity"",""Communication"",""Creativity"",""safety"",""planning""]";"[""property"",""Business"",""Management"",""Productivity"",""Data"",""finance"",""Finance"",""Accounting"",""Numbers"",""marketing"",""Marketing"",""Online"",""geology"",""fashion"",""Design"",""Art"",""Visuals"",""operations"",""beauty""]";"[""USA"",""UK"",""Australia"",""Canada"",""India""]";"[""Real Estate"",""Investment Banking"",""Entrepreneurship"",""Accounting & Finance"",""Marketing & Advertising"",""Human Resources"",""Fashion Design"",""Milliner"",""Supply Chain & Logistics"",""Costume Designer""]";"[""Retail & E-commerce"",""Luxury Goods"",""E-commerce Marketplaces""]";"[""Fashion Tech"",""Circular Fashion"",""Sustainable Fashion"",""Fashion & Textiles""]";[];;
cc3fa809-72f6-43fc-98db-5320cde1ba45;DevOps Architect;General;;[];125000;Very High;[];;[];[];[];2026-04-27 04:22:33.809021+00;Information Technology;DevOps & Infrastructure;[];"[""École Polytechnique"",""Politecnico di Milano"",""Kyoto University"",""Cornell Tech"",""Aarhus University"",""Osaka University"",""Institut Polytechnique de Paris""]";[];Rapidly Growing;"[""creativity"",""Creativity"",""Attention to Detail"",""systems thinking"",""planning"",""Technical Aptitude"",""Problem Solving"",""negotiation"",""research"",""analytical"",""Analytical Thinking"",""Innovation"",""Analytical Skills"",""Logical Thinking"",""Critical Thinking"",""Communication"",""Organization"",""innovation"",""Self-awareness"",""Emotional Intelligence"",""discipline"",""precision"",""patience"",""problem-solving""]";"[""design"",""art"",""Design"",""Art"",""Visuals"",""technology"",""engineering"",""Technology"",""Cloud Computing"",""IT"",""property"",""math"",""Science"",""Data Science"",""AI"",""Mathematics"",""Data"",""Business"",""Productivity"",""Programming"",""Computers"",""environment"",""Environment"",""Sustainability""]";"[""USA"",""UK"",""Australia"",""Germany"",""Canada"",""India""]";"[""Landscape Architect"",""Cloud Computing & DevOps"",""Cloud Architect""]";;"[""DevOps & Infrastructure""]";"[""DevOps"",""Azure DevOps"",""DevSecOps"",""CircleCI"",""Akka"",""D3.js"",""Dropwizard"",""DynamoDB"",""Elixir"",""ClickHouse"",""ARKit"",""CDK (AWS)"",""BeautifulSoup"",""Boto3"",""C++ STL""]";"[""GCP Professional Cloud Architect"",""AWS DevOps Engineer Pro"",""AWS Certified Solutions Architect""]";
3e3a28e4-0466-4602-b6e0-a3ef4b6ebaa7;Film Director;Film & Television;Oversees the creative aspects of film production;"[""Assistant Director"",""Director"",""Senior Director"",""Executive""]";$40K-$200K+;Medium;"[""storytelling"",""cinematography"",""editing"",""leadership"",""screenwriting""]";Bachelor in Film/MFA;[];"[""film"",""directing"",""cinema""]";"[""Film"",""Television"",""Media""]";2026-03-09 03:33:46.151983+00;Entertainment & Media;Media & Entertainment;"[""Film Studies""]";[];[];Steady;"[""creativity"",""Creativity"",""Attention to Detail""]";"[""film"",""arts"",""media"",""fashion"",""beauty"",""Design"",""Art"",""Visuals""]";"[""USA"",""UK"",""Australia""]";"[""Actor"",""Film Editor"",""Film & Entertainment"",""Sound Designer"",""Documentary Filmmaker""]";;"[""Film Distribution"",""Film & Television""]";[];;
abea1dbe-c07f-4f60-8ae7-dba6e4841438;Chief of Staff;General;;[];$110,000;High;[];;[];[];[];2026-04-27 04:22:33.809021+00;;;[];"[""Ohio State University"",""Indian School of Business""]";[];Stable Growth;"[""Attention to Detail"",""Organization"",""Analytical Skills"",""Problem Solving"",""analytical"",""Numeracy"",""Leadership"",""service"",""precision"",""planning"",""negotiation"",""problem-solving"",""Logical Thinking"",""creativity"",""empathy"",""discipline"",""research"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""Critical Thinking"",""Analytical Thinking"",""Innovation""]";"[""Business"",""Productivity"",""Data"",""Environment"",""Sustainability"",""Technology"",""business"",""finance"",""Finance"",""Accounting"",""Numbers"",""Management"",""policy"",""risk"",""law"",""engineering"",""property"",""technology"",""coding"",""Programming"",""Computers"",""Computer Science"",""Coding"",""making""]";"[""Afghanistan""]";;;;;;"[""Afghanistan""]"
67158954-462e-4f99-bb12-45469861d622;Forensic Accountant;Finance;Investigates financial fraud and irregularities;[];$50K-$90K;High;"[""accounting"",""investigation"",""fraud detection""]";;[];"[""forensic accounting"",""fraud"",""investigation""]";"[""Accounting & Finance"",""Law""]";2026-03-09 03:42:45.923926+00;Banking & Financial Services;Risk & Compliance;[];"[""Indian Institute of Foreign Trade"",""Loyola Marymount University"",""Brigham Young University"",""Nanyang Polytechnic""]";[];Stable;"[""analytical"",""Numeracy"",""Attention to Detail"",""Organization"",""precision"",""service""]";"[""finance"",""Finance"",""Business"",""Accounting"",""Numbers"",""law"",""policy"",""risk""]";"[""USA"",""UK"",""Australia""]";"[""Financial Analyst"",""Accountant"",""Chartered Accountant"",""Insurance Underwriter"",""Forensic Accountant"",""Bookkeeper""]";;"[""Algorithmic Trading""]";[];;"[""Grenada"",""Kyrgyzstan""]"
326d737c-fbff-476b-bfba-4e3820b641a0;Petroleum Engineer;Energy;Designs methods for extracting oil and gas;[];90000;Medium;"[""Petroleum Engineering"",""Drilling"",""Reservoir Engineering""]";;[];[];"[""petroleum"",""oil"",""gas"",""energy""]";2026-04-07 04:56:33.423341+00;Energy & Utilities;Manufacturing;[];"[""EPFL""]";"[""Petroleum Geology""]";Stable Growth;"[""planning"",""negotiation"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""precision"",""analytical"",""Analytical Thinking"",""Innovation"",""Analytical Skills"",""Critical Thinking"",""Communication"",""Attention to Detail"",""Organization"",""research"",""innovation"",""systems thinking"",""Self-awareness"",""Emotional Intelligence"",""discipline"",""patience"",""creativity"",""Creativity"",""service""]";"[""engineering"",""property"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""making"",""math"",""Data Science"",""AI"",""Data"",""Business"",""Visuals"",""Mathematics"",""Science"",""Productivity"",""environment"",""Environment"",""Sustainability"",""Personal Growth"",""Mental Health""]";"[""USA"",""India"",""UK"",""Germany"",""Canada"",""Australia""]";"[""Biomedical Engineer""]";"[""Lithium Mining"",""Fertilizers"",""Gas Utilities""]";;[];"[""Elastic Stack Engineer"",""Linux Foundation Certified Engineer""]";"[""Kuwait"",""Iraq""]"
518b067c-3972-41cb-bb3a-6f5c162bfa19;Intelligence Analyst;Government;Analyzes data to support national security decisions;[];90000;Very High;"[""data analysis"",""research"",""critical thinking"",""security clearance""]";;[];"[""intelligence"",""analysis"",""security""]";"[""Cybersecurity"",""Government""]";2026-03-09 03:42:46.25111+00;Information Technology;Security Services;"[""Artificial Intelligence""]";"[""Aligarh Muslim University"",""Jamia Millia Islamia"",""Tel Aviv University""]";"[""Artificial Intelligence"",""Criminal Justice""]";Stable;"[""vigilance""]";"[""security""]";"[""USA"",""UK"",""Australia"",""Canada"",""Germany"",""India""]";"[""Locksmith"",""Diplomacy & International Relations"",""Diplomat"",""Cryptocurrency Analyst"",""Financial Analyst"",""Artificial Intelligence"",""Actuarial Analyst""]";;;"[""Critical Thinking"",""Ethical Hacking"",""Cryptography"",""Investment Analysis"",""Cybersecurity Fundamentals"",""Emotional Intelligence"",""Artificial Intelligence""]";"[""Introduction to Artificial Intelligence""]";"[""Iraq"",""Angola"",""Belarus""]"
65875f90-67b0-42a8-b19b-bfd23b514571;Logistics Manager;Logistics & Supply Chain;Oversees supply chain operations and distribution;"[""Coordinator"",""Manager"",""Senior Manager"",""Director"",""VP""]";$50K-$120K;High;"[""supply chain management"",""ERP"",""inventory"",""transportation"",""procurement""]";Bachelor in Supply Chain/Business;[];"[""logistics"",""supply chain"",""distribution""]";"[""Logistics"",""Supply Chain""]";2026-03-09 03:33:46.151983+00;Artificial Intelligence & Machine Learning;Transportation & Logistics;"[""Supply Chain Management"",""Operations Management""]";[];[];Critical post-pandemic importance;"[""planning"",""Leadership"",""Organization"",""Attention to Detail""]";"[""operations"",""Business"",""Management"",""Productivity"",""Data""]";"[""USA"",""UK"",""Australia"",""Canada""]";"[""Supply Chain & Logistics"",""Event Manager"",""Product Manager""]";;"[""E-commerce Logistics"",""Transportation & Logistics""]";[];"[""Information Security Manager - CISM""]";"[""Iraq"",""Laos"",""Botswana""]"
23253749-0fd8-4ea2-b132-d03d295d44dd;AI Product Manager;General;;[];$80K-$200K;Very High;[];;[];[];[];2026-04-27 04:22:33.809021+00;Information Technology;Event Management;[];[];"[""Product Management""]";Stable;"[""organization"",""analytical"",""Leadership"",""Organization"",""safety"",""design"",""Analytical Skills"",""Critical Thinking"",""Communication"",""Analytical Thinking"",""Innovation"",""Attention to Detail"",""Logical Thinking"",""research"",""Problem Solving"",""innovation"",""systems thinking"",""Self-awareness"",""Emotional Intelligence"",""discipline"",""patience"",""languages"",""service"",""planning""]";"[""events"",""business"",""Business"",""Management"",""Productivity"",""ocean"",""home"",""math"",""technology"",""Data"",""Technology"",""Visuals"",""Data Science"",""AI"",""Mathematics"",""Science"",""Programming"",""Computers"",""environment"",""Environment"",""Sustainability"",""Personal Growth"",""Mental Health"",""sports""]";"[""USA"",""UK"",""Australia"",""India"",""Germany"",""Canada""]";"[""Event Manager"",""Product Manager"",""Product Management""]";"[""Household Products"",""MarTech""]";"[""AI Tooling""]";"[""Product Management""]";"[""Product Analytics with Mixpanel"",""AI Product Management - Duke"",""Information Security Manager - CISM"",""Foundations of Product Management"",""Product Management Fundamentals"",""Notion Productivity OS"",""PMP Certification Prep"",""AI for Everyone - Coursera""]";
6f0885c6-1e80-4e47-bacb-44bd97d3b8d8;Safety Officer;Industrial;Ensures workplace safety and compliance;[];45000;High;"[""Safety Standards"",""Risk Assessment"",""OSHA""]";;[];[];"[""safety"",""HSE"",""industrial safety""]";2026-04-07 04:56:33.423341+00;Information Technology;Risk & Compliance;[];"[""Hanyang University"",""Oregon State University""]";"[""Criminal Justice""]";Stable;"[""analytical"",""outdoors""]";"[""law"",""nature""]";"[""USA"",""UK"",""Australia"",""Canada"",""India"",""Germany""]";"[""Compliance Officer"",""Forestry Officer""]";;;[];;
6bf4fd68-f74d-4310-adf0-8ea74fbba93e;Coroner;Law;Investigates causes of death;[];$110,000;High;"[""forensic pathology"",""anatomy"",""investigation""]";;[];"[""coroner"",""forensics"",""investigation""]";"[""Medicine"",""Law""]";2026-03-09 03:42:45.923926+00;Legal & Compliance;Legal Services;[];"[""Boston College""]";[];Partner track or corporate counsel;"[""analytical""]";"[""law""]";"[""USA"",""UK"",""Germany"",""Australia"",""Canada"",""India""]";"[""Law"",""Forensic Accountant""]";;;[];;"[""Comoros""]"
