id;name;description;domain;related_skills;related_universities;related_domains;keywords;created_at;demand_level;avg_salary_usd;growth_trajectory;soft_skills;interests;countries_in_demand;related_industries;related_sectors;related_careers;related_job_roles;related_subjects;related_courses;related_countries
911a46d9-869b-481f-ab70-f617292d900d;Critical Theory;;Cognitive;"[""Critical Thinking"",""Color Theory""]";"[""Jawaharlal Nehru University"",""Cranfield University"",""Jindal Global University""]";"[""Criminal Justice""]";[];2026-04-27 04:20:58.388691+00;Very High;90000;Stable;"[""analytical"",""Numeracy"",""Attention to Detail"",""Organization"",""precision"",""Leadership"",""service"",""vigilance"",""planning"",""negotiation"",""Creativity"",""creativity"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills""]";"[""finance"",""Finance"",""Business"",""Accounting"",""Numbers"",""law"",""Management"",""Productivity"",""Data"",""policy"",""risk"",""security"",""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""aviation"",""technology"",""coding"",""Technology""]";"[""USA"",""UK"",""Australia"",""Canada"",""India"",""Germany""]";"[""Cinema & Theatre"",""Luxury Goods""]";;;;"[""Communication Theory"",""Decision Theory"",""Music Theory""]";;
81d91b1e-30f7-4c65-8a5a-474973a13bd1;Art Therapy;;Therapy & Wellness;[];[];"[""Art History"",""Physical Therapy"",""Occupational Therapy""]";[];2026-04-27 04:20:58.388691+00;High;$70,000;Rapid Growth;"[""empathy"",""discipline"",""planning"",""negotiation"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""precision"",""creativity"",""research"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""service"",""analytical"",""Analytical Skills"",""Critical Thinking"",""Analytical Thinking"",""Innovation"",""innovation"",""systems thinking"",""Communication"",""Attention to Detail""]";"[""psychology"",""health"",""engineering"",""property"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""making"",""beauty"",""fashion"",""sports"",""medicine"",""biology"",""Personal Growth"",""Mental Health"",""Psychology"",""Self-Improvement"",""Human Behavior"",""policy"",""math""]";"[""USA"",""India"",""UK"",""Canada"",""Australia"",""Germany""]";"[""Architectural Services""]";"[""Gene Therapy""]";"[""Art Therapist""]";"[""Art Director""]";"[""Contemporary Art""]";;
286b13bf-ed0f-41e7-908f-d77d5930c68f;Brand Management;;General;"[""Brand Storytelling"",""Brand Strategy""]";"[""Goa Institute of Management"",""Loyola Marymount University"",""Cranfield University"",""Brandeis University""]";[];[];2026-04-27 04:20:58.388691+00;High;$55K-$140K;Stable;"[""Creativity"",""Attention to Detail"",""analytical"",""Leadership"",""Organization"",""creativity"",""Communication"",""Numeracy"",""service"",""precision"",""planning"",""systems thinking"",""Technical Aptitude"",""Problem Solving""]";"[""Design"",""Art"",""Visuals"",""business"",""Business"",""Management"",""Productivity"",""marketing"",""Data"",""Marketing"",""Online"",""content"",""media"",""finance"",""Finance"",""Accounting"",""Numbers"",""policy"",""risk"",""law"",""fashion"",""beauty"",""engineering"",""design""]";"[""USA"",""UK"",""Australia"",""Canada"",""India"",""Germany""]";"[""Asset Management"",""Facility Management"",""MarTech"",""Live Events"",""Consulting - Management""]";"[""Crisis Management""]";;"[""Brand Strategist"",""Brand Manager""]";;;
20afa192-f320-44bd-bd7e-2da8eee31058;Classical Mechanics;Newtonian physics of motion;Sciences;"[""Motion Design"",""Caliper""]";"[""École Polytechnique"",""BITS Pilani""]";"[""Astronomy & Astrophysics"",""Cryogenics"",""Physics""]";"[""mechanics"",""newton"",""motion""]";2026-04-18 01:05:59.768509+00;High;$45K-$100K;Stable Growth;"[""creativity"",""Creativity"",""Attention to Detail"",""planning"",""negotiation"",""Leadership"",""Organization"",""systems thinking"",""Technical Aptitude"",""Problem Solving"",""precision""]";"[""beauty"",""fashion"",""Design"",""Art"",""Visuals"",""film"",""arts"",""design"",""art"",""engineering"",""property"",""Business"",""Management"",""Productivity"",""Data"",""technology"",""Technology"",""Cloud Computing"",""IT"",""media"",""making"",""music""]";"[""USA"",""UK"",""Australia"",""Germany"",""Canada"",""India""]";"[""Elevator & Escalator"",""Mechatronics""]";[];[];"[""Animator""]";;[];
a4ee0e49-f28b-47d4-aa08-8897111c4ac5;Dance History;;Humanities;[];[];"[""Dance"",""History"",""Art History""]";[];2026-04-27 04:20:58.388691+00;Medium;$50K-$110K;Strong Growth;"[""creativity"",""Creativity"",""Attention to Detail"",""planning"",""precision"",""systems thinking"",""Technical Aptitude"",""Problem Solving"",""organization"",""analytical"",""empathy"",""communication""]";"[""fashion"",""beauty"",""Design"",""Art"",""Visuals"",""media"",""engineering"",""design"",""art"",""arts"",""film"",""making"",""technology"",""Technology"",""Cloud Computing"",""IT"",""music"",""events"",""research"",""education"",""teaching""]";"[""USA"",""UK"",""Australia"",""Germany"",""Canada"",""India""]";;"[""Dance & Choreography""]";;;"[""Architectural History"",""Australian History"",""History""]";"[""Modern World History""]";"[""Estonia""]"
291794ec-3c3c-4102-aef0-29d2db342fd9;Cultural Studies;Analysis of cultural practices;Humanities;[];"[""Jawaharlal Nehru University"",""Central European University"",""Jindal Global University""]";"[""Anthropology"",""Sociology"",""Islamic Studies"",""Religious Studies"",""Translation Studies"",""Disability Studies"",""Gender Studies""]";"[""cultural studies"",""culture""]";2026-04-18 01:05:59.768509+00;Low;$65K-$130K;Essential infrastructure demand;"[""analytical"",""empathy"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""service"",""planning"",""negotiation"",""precision"",""Creativity"",""Attention to Detail"",""creativity"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills""]";"[""research"",""psychology"",""Personal Growth"",""Mental Health"",""Psychology"",""Self-Improvement"",""Human Behavior"",""policy"",""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""aviation"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding""]";"[""USA"",""Canada"",""Australia"",""UK"",""India"",""Germany""]";[];"[""Cultural Heritage""]";"[""Anthropologist""]";"[""Anthropologist""]";"[""Cultural Anthropology""]";[];"[""Cuba"",""Honduras""]"
a53533fd-a71b-49f5-af10-441eca90abf2;Conflict Studies;;Management;"[""Conflict Mediation""]";[];"[""Islamic Studies"",""Disability Studies""]";[];2026-04-27 04:20:58.388691+00;Low;95000;Steady;"[""analytical"",""empathy"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""service"",""planning"",""negotiation"",""precision"",""Creativity"",""Attention to Detail"",""creativity"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills"",""languages"",""Communication"",""Technical Aptitude"",""Leadership""]";"[""research"",""psychology"",""Personal Growth"",""Mental Health"",""Psychology"",""Self-Improvement"",""Human Behavior"",""policy"",""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""aviation"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding""]";"[""USA"",""Canada"",""Australia"",""UK"",""India"",""Germany"",""Congo"",""Dominican Republic"",""Eswatini"",""Kiribati""]";;;;;;;
48dbd05f-b480-40cb-9da1-7a03a3063682;Diplomacy;;Government;[];[];"[""Diplomacy & International Relations""]";[];2026-04-27 04:20:58.388691+00;Low-Medium;85000;Prestigious but competitive;"[""analytical"",""Numeracy"",""Attention to Detail"",""Organization"",""Leadership"",""service"",""precision"",""negotiation"",""empathy"",""planning"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""creativity"",""discipline"",""research"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""Analytical Skills"",""Critical Thinking"",""Analytical Thinking"",""Innovation""]";"[""finance"",""Finance"",""Business"",""Accounting"",""Numbers"",""Management"",""Productivity"",""Data"",""policy"",""risk"",""law"",""property"",""psychology"",""engineering"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""making"",""beauty"",""fashion""]";"[""USA"",""UK"",""Australia"",""Canada"",""India"",""Germany""]";;;"[""Diplomacy & International Relations""]";;;;
3808324d-46cd-42b1-91e9-db96980c369c;Physiology;Function of living systems;Sciences;[];[];"[""Kinesiology"",""Sociology"",""Audiology"",""Radiology"",""Urology"",""Epidemiology"",""Oncology"",""Physics"",""Dermatology"",""Immunology"",""Physical Therapy"",""Gastroenterology"",""Nephrology"",""Endocrinology"",""Parasitology"",""Chronobiology""]";"[""physiology"",""function"",""body""]";2026-04-18 01:05:59.768509+00;High;$70,000;Rapid Growth;"[""empathy"",""research"",""discipline"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""service"",""analytical"",""Analytical Skills"",""Critical Thinking"",""Logical Thinking"",""Problem Solving"",""Analytical Thinking"",""Innovation"",""innovation"",""systems thinking"",""Communication"",""Attention to Detail"",""Organization"",""planning"",""negotiation"",""problem-solving"",""precision""]";"[""medicine"",""health"",""biology"",""psychology"",""Personal Growth"",""Mental Health"",""Psychology"",""Self-Improvement"",""Human Behavior"",""policy"",""math"",""technology"",""animals"",""Data"",""Technology"",""Business"",""Programming"",""Computers"",""Data Science"",""AI"",""sports"",""environment"",""Environment"",""Sustainability""]";"[""USA"",""Canada"",""Australia"",""UK"",""India"",""Germany""]";"[""Dermatology""]";"[""Cardiology""]";[];[];;[];
61460fbe-b220-4096-987f-6dece423c62a;Biology;Study of living organisms and life processes;Science;"[""Research & Development"",""Nursing & Patient Care"",""Environmental Science""]";"[""Birkbeck University of London"",""BITS Pilani""]";"[""Medicine"",""Biology"",""Biotechnology"",""Marine Biology"",""Molecular Biology"",""Epidemiology"",""Dermatology"",""Urology"",""Immunology"",""Dendrology"",""Speleology"",""Gastroenterology"",""Nephrology"",""Oncology"",""Endocrinology"",""Parasitology"",""Mycology"",""Chronobiology""]";[];2026-04-13 17:02:21.176479+00;High;$105,000;Rapid Growth;"[""research"",""planning"",""negotiation"",""precision"",""Creativity"",""Attention to Detail"",""creativity"",""service"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills"",""outdoors"",""Collaboration"",""empathy"",""discipline"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""analytical""]";"[""biology"",""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""policy"",""aviation"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""music"",""arts"",""film"",""environment"",""energy"",""Environment""]";"[""USA"",""UK"",""Australia"",""India"",""Germany"",""Canada""]";[];"[""Cardiology"",""Bioplastics""]";[];[];"[""Cell Biology"",""Computational Biology"",""Developmental Biology""]";[];"[""Guinea-Bissau""]"
423c8d7e-0d14-45ca-b0d3-8bb1890af9c0;Anthropology;Study of human societies;Humanities;[];"[""École Polytechnique"",""Anna University""]";"[""Anthropology"",""Islamic Studies"",""Theology"",""Phenomenology"",""Thanatology"",""Speleology"",""Archaeology""]";"[""anthropology"",""culture"",""society""]";2026-04-18 01:05:59.768509+00;Low;95000;Steady;"[""analytical"",""empathy"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""service"",""planning"",""negotiation"",""precision"",""Creativity"",""Attention to Detail"",""creativity"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills""]";"[""research"",""psychology"",""Personal Growth"",""Mental Health"",""Psychology"",""Self-Improvement"",""Human Behavior"",""policy"",""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""aviation"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding""]";"[""USA"",""Canada"",""Australia"",""UK"",""India"",""Germany""]";[];[];"[""Anthropologist"",""Sociologist""]";"[""Anthropologist""]";"[""Anthropology of Religion"",""Cultural Anthropology"",""Design Anthropology""]";[];"[""Angola""]"
29aa7a88-43bb-4b28-9dfa-3ee1285f4ca2;Criminal Procedure;;Criminal Justice;[];[];"[""Criminal Justice""]";[];2026-04-27 04:20:58.388691+00;High;$110,000;Stable;"[""analytical"",""Problem Solving"",""Analytical Thinking"",""empathy"",""research"",""planning"",""negotiation"",""problem-solving"",""Logical Thinking"",""precision"",""creativity"",""discipline"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""service"",""Analytical Skills"",""Critical Thinking"",""Innovation"",""innovation"",""systems thinking"",""Communication"",""Attention to Detail""]";"[""law"",""Technology"",""Security"",""Computers"",""medicine"",""health"",""biology"",""engineering"",""property"",""technology"",""coding"",""Programming"",""Computer Science"",""Coding"",""making"",""beauty"",""fashion"",""psychology"",""sports"",""Personal Growth"",""Mental Health"",""Psychology"",""Self-Improvement"",""Human Behavior""]";"[""USA"",""UK"",""Germany"",""India"",""Canada"",""Australia""]";;;;;"[""Criminal Law"",""Civil Procedure""]";;"[""Croatia""]"
