id;name;category;description;icon_emoji;parent_domain;keywords;created_at;industry;sector;related_careers;related_job_roles;related_universities;related_skills;related_subjects;demand_level;avg_salary_usd;growth_trajectory;soft_skills;interests;countries_in_demand;related_industries;related_sectors;related_courses;related_countries
6f6e1c3c-dccd-43b6-aa25-ea3904ff1356;Dance;Creative Arts;Performance art involving body movement and choreography;💃;;"[""dance"",""choreography"",""ballet"",""contemporary"",""performance""]";2026-03-09 03:42:40.24542+00;Entertainment & Media;Dance & Choreography;[];[];[];"[""Performance Marketing"",""Rust""]";"[""Sports Science"",""Performing Arts"",""Dance History""]";Medium;$50K-$110K;Strong Growth;"[""creativity"",""Creativity"",""Attention to Detail"",""planning"",""precision"",""systems thinking"",""Technical Aptitude"",""Problem Solving""]";"[""fashion"",""beauty"",""Design"",""Art"",""Visuals"",""media"",""engineering"",""design"",""art"",""arts"",""film"",""making"",""technology"",""Technology"",""Cloud Computing"",""IT"",""music""]";"[""USA"",""UK"",""Australia"",""Germany""]";"[""Entertainment & Media""]";"[""Dance & Choreography""]";[];
f1653064-ceee-4893-90ba-a45bcdc6c89a;Telecommunications;Technology;Transmission of information over distances via electronic means;📡;Engineering;"[""telecom"",""5G"",""wireless"",""fiber optics"",""satellite communications""]";2026-03-09 03:31:51.075961+00;Information Technology;Telecommunications;"[""Electrical Engineering"",""Robotics & Automation"",""Quantum Computing"",""Cloud Computing & DevOps"",""Artificial Intelligence""]";"[""Application Security Engineer"",""IoT Solutions Architect"",""Electrical Engineer"",""Developer Advocate""]";"[""EPFL"",""Delhi Technological University"",""Aalto University"",""Keio University""]";"[""Containerization"",""Technical Writing"",""Data Visualization"",""Linux Administration"",""Electron"",""DevSecOps"",""TensorFlow"",""React Native"",""Docker Compose"",""LLM Fine-tuning"",""Akka"",""D3.js"",""Dropwizard"",""DynamoDB"",""Elixir"",""ClickHouse""]";"[""Communication Design"",""Communication Theory"",""Information Systems"",""Electrical Engineering"",""Electronics Engineering"",""Electromagnetism""]";High;$90,000;Steady;"[""organization"",""safety"",""design"",""analytical"",""Analytical Skills"",""Critical Thinking"",""Communication"",""Analytical Thinking"",""Innovation"",""Attention to Detail"",""Organization"",""Logical Thinking"",""research"",""Problem Solving"",""innovation"",""systems thinking"",""Self-awareness"",""Emotional Intelligence"",""discipline"",""patience"",""languages"",""service"",""planning"",""Technical Aptitude""]";"[""events"",""ocean"",""home"",""math"",""technology"",""Data"",""Technology"",""Business"",""Visuals"",""Data Science"",""AI"",""Productivity"",""Mathematics"",""Science"",""Programming"",""Computers"",""environment"",""Environment"",""Sustainability"",""Personal Growth"",""Mental Health"",""sports"",""health"",""food""]";"[""USA"",""UK"",""Canada"",""Australia"",""Germany"",""India""]";"[""Information Technology"",""Telecommunications"",""Consumer Electronics"",""Robotics & Automation"",""Space & Satellite Technology"",""Retail & E-commerce"",""Electric Vehicles""]";"[""Telecommunications"",""Satellite Communications"",""Information Technology"",""Application Security"",""Electronic Music""]";"[""Cybersecurity Foundations - SANS"",""CKAD - Kubernetes Application Developer"",""LangChain for LLM Application Development"",""AWS Certified Solutions Architect"",""Deep Learning Specialization"",""TensorFlow Developer Certificate""]";"[""Dominica"",""Iraq"",""Jamaica"",""Kiribati"",""Belize""]"
42063d73-1287-4b3e-af09-cc0e58cf30ba;Pediatrics;Healthcare;Medical care of infants, children, and adolescents;👶;;"[""pediatrics"",""children"",""infant"",""child health""]";2026-03-09 03:42:40.643507+00;Healthcare & Life Sciences;Wellness & Fitness;"[""Psychiatrist"",""Podiatrist"",""Medicine"",""Paramedic"",""Optometrist"",""Nutritionist"",""Biomedical Engineer""]";"[""Optometrist"",""Nutritionist"",""Medical Doctor"",""Cardiac Surgeon"",""Biomedical Engineer"",""Emergency Medical Technician"",""Biomedical Equipment Technician""]";"[""All India Institute of Medical Sciences"",""University of Pennsylvania"",""Medical University of Vienna""]";[];"[""Genetics"",""Bioethics"",""Nutrition & Dietetics"",""Medicine"",""Nutrition""]";High;$70,000;Rapid Growth;"[""planning"",""negotiation"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""precision"",""creativity"",""empathy"",""discipline"",""research"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""service"",""analytical"",""Analytical Skills"",""Critical Thinking"",""Analytical Thinking"",""Innovation"",""innovation"",""systems thinking"",""Communication"",""Attention to Detail""]";"[""engineering"",""property"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""making"",""beauty"",""fashion"",""psychology"",""sports"",""health"",""medicine"",""biology"",""Personal Growth"",""Mental Health"",""Psychology"",""Self-Improvement"",""Human Behavior"",""policy"",""math""]";"[""USA"",""India"",""UK"",""Canada"",""Australia"",""Germany""]";"[""Healthcare & Life Sciences"",""Orthopedics"",""Medical Tourism"",""Medical Devices"",""Diagnostic Labs""]";"[""Digital Therapeutics"",""Medical Devices"",""Clinical Medicine""]";"[""The Science of Nutrition""]";"[""Gambia""]"
9efaddef-0d1d-4464-b7e0-0e5b2db6dcff;Epidemiology;Healthcare;Study of disease distribution and determinants in populations;📊;;"[""epidemiology"",""disease"",""public health"",""outbreak""]";2026-03-09 03:42:40.24542+00;Healthcare & Life Sciences;Public Health;"[""Epidemiologist"",""Microbiologist"",""Sociologist"",""Pathologist"",""Immunologist"",""Biochemist""]";"[""Epidemiologist"",""Toxicologist"",""Hematologist"",""Professor / Academic"",""Biochemist""]";[];"[""Discrete Event Simulation""]";"[""Public Health"",""Physiology"",""Biology"",""Sociology"",""Microbiology"",""Cell Biology"",""Clinical Pathology""]";High;$70,000;Rapid Growth;"[""planning"",""negotiation"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""precision"",""creativity"",""empathy"",""discipline"",""research"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""service"",""analytical"",""Analytical Skills"",""Critical Thinking"",""Analytical Thinking"",""Innovation"",""innovation"",""systems thinking"",""Communication"",""Attention to Detail""]";"[""engineering"",""property"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""making"",""beauty"",""fashion"",""psychology"",""sports"",""health"",""medicine"",""biology"",""Personal Growth"",""Mental Health"",""Psychology"",""Self-Improvement"",""Human Behavior"",""policy"",""math""]";"[""USA"",""India"",""UK"",""Canada"",""Australia"",""Germany""]";"[""Healthcare & Life Sciences""]";"[""Public Health""]";"[""Public Health Foundations""]";
7c08e991-2ab9-4ccc-b10f-bc419b2e0e9a;Aquaculture;Agriculture;Breeding and harvesting fish and aquatic organisms;🐟;;"[""aquaculture"",""fish farming"",""aquatic"",""mariculture""]";2026-03-09 03:42:40.24542+00;Agriculture & Food;Disaster Relief;"[""Aquaculture Specialist""]";[];[];[];[];growing;$45K-$100K;Steady;"[""outdoors""]";"[""ocean""]";"[""USA"",""UK"",""Germany"",""Canada"",""Australia"",""India""]";"[""Agriculture & Farming""]";"[""Fisheries & Aquaculture"",""Aquaculture"",""Floriculture""]";[];"[""Cambodia"",""Belize""]"
9bb408ae-44b5-4b3f-98f3-ec767a6129ab;Religious Studies;Humanities;Academic study of religions and spiritual traditions;🕊️;;"[""religion"",""theology"",""spirituality"",""comparative religion""]";2026-03-09 03:42:40.643507+00;Libraries & Archives;Religious Organizations;[];[];[];"[""Storytelling"",""Content Strategy"",""Brand Storytelling"",""Strategic Planning"",""Emotional Intelligence""]";"[""Theology"",""Asian Studies"",""Celtic Studies"",""African Studies"",""Cultural Studies"",""Comparative Religion"",""Anthropology of Religion""]";Low;$45,000;Stable;"[""empathy""]";"[""spirituality""]";"[""USA"",""Canada"",""Australia"",""UK"",""India"",""Germany""]";"[""Libraries & Archives""]";"[""Religious Organizations"",""Faith Communities"",""Funeral Services"",""Behavioural Health""]";"[""Storytelling for Influence"",""Data Storytelling Bootcamp""]";"[""Iraq""]"
530e2a46-cfd3-431e-831e-5b54aa7e63de;Journalism;Creative Arts;Gathering, assessing, and presenting news and information;📰;Media & Entertainment;"[""journalism"",""reporting"",""news"",""investigative journalism"",""press""]";2026-03-09 03:31:51.075961+00;Entertainment & Media;Publishing & Journalism;"[""Journalism & Media""]";[];"[""Aligarh Muslim University"",""ISCTE-IUL Lisbon"",""NIT Rourkela""]";"[""Content Writing""]";"[""Journalism"",""Journalism & Mass Communication""]";Medium;$80,000;Strong Growth;"[""creativity"",""Creativity"",""Attention to Detail"",""planning"",""precision"",""systems thinking"",""Technical Aptitude"",""Problem Solving""]";"[""media"",""fashion"",""beauty"",""Design"",""Art"",""Visuals"",""engineering"",""design"",""art"",""arts"",""film"",""making"",""technology"",""Technology"",""Cloud Computing"",""IT"",""music""]";"[""USA"",""UK"",""Australia"",""Germany""]";"[""Entertainment & Media"",""Courier Services"",""Educational Publishing""]";"[""Publishing & Journalism""]";[];"[""Cambodia"",""Belize""]"
70e74ad3-c2f1-4643-911a-3849f32e4ce1;Structural Engineering;Engineering;Design of structures that withstand loads and forces;🏗️;;"[""structural engineering"",""buildings"",""bridges"",""analysis""]";2026-03-09 03:42:40.643507+00;Manufacturing & Industrial;Real Estate & Construction;"[""Civil Engineering""]";[];[];"[""Critical Thinking"",""Investment Analysis"",""Civil Engineering"",""C++ STL""]";"[""Architectural History""]";High;$65K-$130K;Stable;"[""planning"",""negotiation"",""precision"",""Creativity"",""Attention to Detail"",""creativity"",""service"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills""]";"[""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""policy"",""aviation"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""music"",""arts"",""film"",""environment"",""energy"",""Environment"",""Sustainability""]";"[""USA"",""UK"",""Australia"",""India"",""Germany""]";"[""Manufacturing & Industrial"",""Iron & Steel"",""Architectural Services""]";"[""Affordable Housing""]";"[""Data Engineering with Snowflake""]";
597b2429-b33d-4615-b2e0-d99b0531e134;Helioseismology;Astrophysics;Study of the Suns internal structure through oscillations;☀️;;"[""solar physics"",""astronomy"",""seismology"",""space""]";2026-04-06 06:53:11.32923+00;Space Technology;Aerospace;"[""Astrobiology Researcher""]";[];[];[];"[""Astronomy"",""Cosmology""]";High;$110,000;Rapid Growth;"[""innovation"",""precision"",""service"",""planning"",""negotiation"",""problem-solving"",""Logical Thinking"",""Problem Solving""]";"[""space"",""science"",""aviation"",""making"",""policy"",""engineering"",""property"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding""]";"[""USA"",""India"",""UK""]";"[""Space Technology"",""Space & Satellite Technology"",""Aerospace & Defense""]";"[""Aerospace"",""Astrobiology""]";"[""Astronomy: Exploring Time and Space""]";
e7b5f287-c208-4d24-b469-6ade0571bb98;Waste Management;Engineering;Collection, treatment, and disposal of waste materials;🗑️;;"[""waste management"",""recycling"",""disposal"",""environmental""]";2026-03-09 03:42:40.94683+00;Manufacturing & Industrial;Waste Management;[];[];"[""Goa Institute of Management""]";[];[];High;$65K-$130K;Essential infrastructure demand;"[""planning"",""negotiation"",""precision"",""Creativity"",""Attention to Detail"",""creativity"",""service"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills""]";"[""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""policy"",""aviation"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""music"",""arts"",""film"",""environment"",""energy"",""Environment"",""Sustainability""]";"[""USA"",""UK"",""Australia"",""India"",""Germany""]";"[""Manufacturing & Industrial"",""Asset Management"",""Facility Management"",""Inland Waterways""]";"[""Waste Management"",""Crisis Management""]";[];"[""Côte d'Ivoire"",""Botswana""]"
a4a02d71-9b3b-439b-bbff-ad10a5785dfc;Semiotics;Communication;Study of signs, symbols, and their interpretation;🔣;;"[""signs"",""symbols"",""communication"",""linguistics""]";2026-04-06 06:53:11.32923+00;;;[];[];[];"[""Negotiation"",""Storytelling""]";"[""Linguistics""]";Very High;85000;Stable;"[""analytical"",""negotiation"",""Leadership"",""Organization"",""Attention to Detail"",""empathy"",""planning"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""precision"",""creativity"",""discipline"",""research"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""service"",""Analytical Skills"",""Critical Thinking"",""Analytical Thinking"",""Innovation"",""innovation""]";"[""law"",""property"",""Business"",""Management"",""Productivity"",""Data"",""psychology"",""engineering"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""making"",""beauty"",""fashion"",""sports"",""health"",""medicine"",""biology"",""Personal Growth"",""Mental Health""]";"[""USA"",""UK"",""Australia"",""Canada"",""India"",""Germany""]";;;[];
340217ec-b9d5-4f46-be60-687919cac498;Dermatology;Healthcare;Medical specialty dealing with skin conditions;🧴;;"[""dermatology"",""skin"",""cosmetic"",""treatment""]";2026-03-09 03:42:40.24542+00;Healthcare & Life Sciences;Clinical Medicine;"[""Dermatologist""]";"[""Dermatologist""]";[];[];"[""Biology"",""Physiology"",""Cell Biology"",""Clinical Pathology""]";High;$70,000;Rapid Growth;"[""planning"",""negotiation"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""precision"",""creativity"",""empathy"",""discipline"",""research"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""service"",""analytical"",""Analytical Skills"",""Critical Thinking"",""Analytical Thinking"",""Innovation"",""innovation"",""systems thinking"",""Communication"",""Attention to Detail""]";"[""engineering"",""property"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""making"",""beauty"",""fashion"",""psychology"",""sports"",""health"",""medicine"",""biology"",""Personal Growth"",""Mental Health"",""Psychology"",""Self-Improvement"",""Human Behavior"",""policy"",""math""]";"[""USA"",""India"",""UK"",""Canada"",""Australia"",""Germany""]";"[""Healthcare & Life Sciences"",""Dermatology"",""Pharmaceutical"",""Pharmaceuticals"",""Medical Devices""]";"[""Clinical Medicine"",""Pharmaceuticals"",""Medical Devices""]";"[""Anatomy Specialization""]";
